DAMATER CAP MOLE CT BL AL AL X 30            | A11A4 OUTROS POLIVIT COM MINERAIS  | DAMATER        | ALTHAIA          | 30UN | SUPL ALIM POLIV DAMATER 30CAPS
EMAMA 400 MG CAP MOLE CT BL AL PLAS TRANS X  | VITAMINA OUTRO                     | EMAMA          | EUROFARMA        | 30UN | SUPL ALIM EMAMA 400MG 30CAPS
ACICLOVIR 200 MG COMP CT BL AL PLAS TRANS X  | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | EUROFARMA        | 25UN | ACICLOVIR 200MG 25CPRS
PROVERA 10 MG COMP CT BL AL PLAS TRANS X 14  | G03D PROGESTOGENOS E ASSOCIACOES E | PROVERA        | PFIZER           | 14UN | PROVERA 10MG 14CPRS
CELESTONE SOLUSPAN 3,0 MG/ML + 3,945 MG/ML S | H02A CORTICOSTEROIDES PUROS        | CELESTONE SOLU | COSMED           | 1ML | CELESTONE SOLUSPAN SUSPENSAO INJETAVEL AMPOLA 3.0MG/ML+3.945MG/ML 1ML
BAYCUTEN N 10 MG/G + 0,443 MG/G CREM DERM CT | D07B ASSOCIACOES DE CORTICOIDES    | BAYCUTEN N     | BAYER            | 40G | BAYCUTEN N CREME DERMATOLOGICO 10MG/G+0.443MG/G 40G
ADEFORTE 10 + 0,02 + 15 MG/ML SOL OR CT AMP  | A11B4 OUTROS POLIVITAMINICOS PUROS | ADEFORTE       | LABORATORIO GROS | 3ML | SUPL ALIM POLIV ADEFORTE SOLUCAO ORAL AMPOLA 10+0.02+15MG/ML 3ML
SYSTEN CONTI 3,2 MG + 11,2 MG ADES TRANSD CT | G03F ASSOCIACOES DE ESTROGENOS E P | SYSTEN CONTI   | FARMA VISION IMP | 8UN | SYSTEN CONTI ADES TRANSDERMICO 3.2MG+11.2MG 8UN
FEMIGESTROL 160 MG COMP CT BL AL PLAS TRANS  | L02A HORMONIOS CITOSTATICOS        | FEMIGESTROL    | BERGAMO          | 30UN | FEMIGESTROL 160MG 30CPRS
ACECLOFENACO 100 MG COMP REV CT ENV AL X 12  | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | VITAMEDIC        | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACICLOVIR 400 MG COMP CT BL AL PLAS OPC X 30 | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | NOVARTIS         | 30UN | ACICLOVIR 400MG 30CPRS
ACECLOFENACO 100 MG COMP REV CT STR AL X 12  | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | RANBAXY          | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
TEUTOVIT E 400 MG CAP MOLE CT FR PLAS PEAD O | VITAMINA OUTRO                     | TEUTOVIT E     | TEUTO            | 30UN | SUPL ALIM TEUTOVIT E 400MG 30CAPS
AGLUCOSE 50 MG COMP CT BL AL AL X 30         | A10L INIB ALFA GLUCOSIDAS          | AGLUCOSE       | EMS PHARMA       | 30UN | AGLUCOSE 50MG 30CPRS
ACETATO DE DEXAMETASONA 1,00 MG/G CREM DERM  | D07A CORTICOIDES TOPICOS PUROS     | DEXAMETASONA   | GEOLAB           | 10G | DEXAMETASONA ACETATO DE CREME DERMATOLOGICO 1.00MG/G 10G
ACECLOFENACO 100 MG COMP CT BL AL/AL X 12    | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | ZYDUS NIKKHO     | 12UN | ACECLOFENACO 100MG 12CPRS
ACICLOVIR 200 MG COMP CT BL AL PLAS TRANS X  | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | NOVARTIS         | 25UN | ACICLOVIR 200MG 25CPRS
ACICLOVIR 200 MG COMP CT BL AL PLAS PP/PVDC  | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 25UN | ACICLOVIR 200MG 25CPRS
ACECLOFENACO 100 MG COMP REV CT BL AL AL X 1 | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
CLOTRIMAZOL + ACETATO DE DEXAMETASONA (10 +  | D07B ASSOCIACOES DE CORTICOIDES    | DEXAMETASONA   | EMS PHARMA       | 40G | DEXAMETASONA CLOTRIMAZOL ACETATO DE CREME DERMATOLOGICO 10+0.4MG/G 40G
ACECLOFENACO 100 MG COMP REV CT BL AL AL X 1 | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO REVESTIDO 100MG 12CPRS
ACICLOVIR 200 MG COMP CT FR PLAS OPC X 25    | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 25UN | ACICLOVIR 200MG 25CPRS
PRIMOSISTON (2 + 0,01) MG COMP CT BL AL PLAS | G03F ASSOCIACOES DE ESTROGENOS E P | PRIMOSISTON    | BAYER            | 30UN | PRIMOSISTON 2+0.01MG 30CPRS
VITAMIN E 400 MG CAP GEL MOLE CT FR PLAS OPC | VITAMINA OUTRO                     | VITAMINA E     | NATULAB          | 30UN | SUPL ALIM VITAMINA E 30UN
FLUIMUCIL 11,50 MG/ML SOL NAS CT FR VD AMB X | R01A7 DESCONGESTIONANTES NASAIS    | FLUIMUCIL      | ZAMBON           | 20ML | FLUIMUCIL SOLUCAO NAS MICRONEBULIZADOR 11.50MG/ML 20ML
FLORATE 1,0 MG/ML SUS OFT CT FR GOT PLAS OPC | S01B CORTICOIDES                   | FLORATE        | NOVARTIS         | 5ML | FLORATE SUSPENSAO OFTALMICO GOTAS 1.0MG/ML 5ML
ACICLOVIR 400 MG COMP CT BL AL PLAS PP/PVC O | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 60UN | ACICLOVIR 400MG 60CPRS
FLORINEFE 0,1 MG COMP CT FR VD AMB X 100     | H02A CORTICOSTEROIDES PUROS        | FLORINEFE      | ASPEN            | 100UN | FLORINEFE 0.1MG 100CPRS
EPHYNAL 400 MG CAP MOLE CT BL AL PLAS PVC TR | VITAMINA OUTRO                     | EPHYNAL        | BAYER            | 30UN | SUPL ALIM EPHYNAL 400MG 30CAPS
DDAVP 0,2 MG COMP CT FR PLAS PEAD OPC X 30   | H04D HORMONIOS ANTIDIURETICOS      | DDAVP          | FERRING          | 30UN | DDAVP 0.2MG 30CPRS
AGLUCOSE 100 MG COMP CT BL AL AL X 30        | A10L INIB ALFA GLUCOSIDAS          | AGLUCOSE       | EMS PHARMA       | 30UN | AGLUCOSE 100MG 30CPRS
SYSTEN SEQUI 3,2 MG ADES CT 4 ENV X 1 / (3,2 | G03F ASSOCIACOES DE ESTROGENOS E P | SYSTEN SEQUI   | FARMA VISION IMP | 4UN | SYSTEN SEQUI ADES 3.2MG+3.2+11.2MG 4UN
DDAVP 0,1 MG COMP CT FR PLAS PEAD OPC X 30   | H04D HORMONIOS ANTIDIURETICOS      | DDAVP          | FERRING          | 30UN | DDAVP 0.1MG 30CPRS
ZOLADEX 3,6 MG DEPOT + SER PREENC PLAS TRANS | L02A HORMONIOS CITOSTATICOS        | ZOLADEX        | ASTRAZENECA      | 1UN | ZOLADEX DEPOT POLIET 3.6MG 1UN
VERZENIOS 50 MG COMP REV CT BL AL AL X 30    | L01H1 ANTINEOPLASICOS INIBIDORES D | VERZENIOS      | ELI LILLY        | 30UN | VERZENIOS REVESTIDO 50MG 30CPRS
ENVID 800 MCG + 20 MG CAP MOLE CT BL AL PLAS | A11X9 TODAS OUTRAS VITAMINAS PURAS | ENVID          | BIOLAB           | 30UN | SUPL ALIM ENVID 800MCG+20MG 30CAPS
ACICLOVIR 200 MG COMP CT BL AL PLAS PVC/PVDC | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 200MG 30CPRS
ZOVIRAX 200 MG COMP CT BL AL/PAP PLAS PVC /P | J05B3 ANTIVIRAL PARA HERPES        | ZOVIRAX        | GLAXOSMITHKLINE  | 25UN | ZOVIRAX PAP 200MG 25CPRS
ACECLOFENACO 100 MG COMP REV CT BL AL AL X 2 | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 24UN | ACECLOFENACO REVESTIDO 100MG 24CPRS
65 SKUs: 1UN 1, OUTRA CATEGORIA 0
