DAMATER C/30 CAPS                            | VITAMINA OUTRO                     | DAMATER        | OUTRO FABRICANTE | 30UN | SUPL ALIM DAMATER 30CAPS
TEUTOVIT EC/30 CAPS 400MG                    | VITAMINA OUTRO                     | OUTRA MARCA    | OUTRO FABRICANTE | 30UN | SUPL ALIM TEUTOVIT 400MG 30CAPS
AGLUCOSE C/30 CPR 50MG                       | A10L INIB ALFA GLUCOSIDAS          | AGLUCOSE       | EMS PHARMA       | 30UN | AGLUCOSE 50MG 30CPRS
DEXAMETASONA CREME 10G GEOLAB                | D07A CORTICOIDES TOPICOS PUROS     | DEXAMETASONA   | GEOLAB           | 10G | DEXAMETASONA CREME 10G
ACECLOFENACO 100MG C/12CPR ZYDUS             | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | ZYDUS BRASIL     | 12UN | ACECLOFENACO 100MG 12CPRS
ACICLOVIR 200MG C/25 CPR SANDOZ              | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 25UN | ACICLOVIR 200MG 25CPRS
ACICLOVIR 200MG C/25 CPR SANDOZ              | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 25UN | ACICLOVIR 200MG 25CPRS
ACECLOFENACO 100MG C/12CPR GERMED            | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO 100MG 12CPRS
CLOTRIMAZOL+DEXAMETASONA CR 40G GERMED       | D07A CORTICOIDES TOPICOS PUROS     | DEXAMETASONA   | EMS PHARMA       | 40G | DEXAMETASONA CLOTRIMAZOL CREME 40G
ACECLOFENACO 100MG C/12CPR NOVA QUIMICA      | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 12UN | ACECLOFENACO 100MG 12CPRS
ACICLOVIR MERCK C/25 CPR 200MG GEN           | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 25UN | ACICLOVIR 200MG 25CPRS
PRIMOSISTON 30CPR BAYER                      | G03A5 PROGESTAGENOS ORAIS PUROS    | PRIMOSISTON    | BAYER            | 30UN | PRIMOSISTON 30CPRS
VITAMINA E NATULAB 400MG 30CPR               | VITAMINA OUTRO                     | VITAMINA E     | NATULAB          | 30UN | SUPL ALIM VITAMINA E 400MG 30CPRS
FLUIMUCIL 20ML SOL NAS 11,5MG/ML             | R05C EXPECTORANTES                 | FLUIMUCIL      | ZAMBON           | 20ML | FLUIMUCIL SOLUCAO NASAL 11.5MG/ML 20ML
FLORATE COL 5 ML                             | TOPICOS OFTALMOLOGICOS ANTIGLAUCOM | FLORATE        | NOVARTIS         | 5ML | FLORATE COLIRIO 5ML
ACICLOVIR SANDOZ C/60 CPR 400MG GEN          | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | SANDOZ           | 60UN | ACICLOVIR 400MG 60CPRS
FLORINEFE C/100 CPR 0,1MG                    | D07A CORTICOIDES TOPICOS PUROS     | FLORINEFE      | ASPEN            | 100UN | FLORINEFE 0.1MG 100CPRS
EPHYNAL C/30 CAPS 400MG                      | VITAMINA OUTRO                     | OUTRA MARCA    | OUTRO FABRICANTE | 30UN | SUPL ALIM EPHYNAL 400MG 30CAPS
DDAVP C/30 CPR 0,2MG                         | H04D HORMONIOS ANTIDIURETICOS      | DDAVP          | FERRING          | 30UN | DDAVP 0.2MG 30CPRS
AGLUCOSE C/30 CPR 100MG                      | A10L INIB ALFA GLUCOSIDAS          | AGLUCOSE       | EMS PHARMA       | 30UN | AGLUCOSE 100MG 30CPRS
SYSTEN SEQUI C/8 ADES 50+50+170MCG/DIA       | G03C ESTROGENOS E ASSOCIACOES EXCE | SYSTEN         | KENVUE           | 8UN | SYSTEN SEQUI ADES 50+50+170MCG/DIA 8UN
DDAVP C/30 CPR 0,1MG                         | H04D HORMONIOS ANTIDIURETICOS      | DDAVP          | FERRING          | 30UN | DDAVP 0.1MG 30CPRS
ZOLADEX DEPOT 3,6MG INJ                      | L02A HORMONIOS CITOSTATICOS        | ZOLADEX        | ASTRAZENECA      | 1UN | ZOLADEX DEPOT INJETAVEL 3.6MG 1UN
VERZENIOS C/30 CPR REV 50MG                  | L01H1 ANTINEOPLASICOS INIBIDORES D | VERZENIOS      | ELI LILLY        | 30UN | VERZENIOS REVESTIDO 50MG 30CPRS
ENVID C/30 CAPS 800MCG+20MG                  | OUTRA CATEGORIA                    | OUTRA MARCA    | OUTRO FABRICANTE | 30UN | ENVID CAPSULA MCG 30UN
ACICLOVIR MERCK C/30 CPR 200MG GEN           | J05B3 ANTIVIRAL PARA HERPES        | ACICLOVIR      | MERCK            | 30UN | ACICLOVIR 200MG 30CPRS
ZOVIRAX C/25 CPR 200MG                       | J05B3 ANTIVIRAL PARA HERPES        | ZOVIRAX        | GSK              | 25UN | ZOVIRAX 200MG 25CPRS
ACECLOFENACO GERMED C/24 CPR REV 100MG GEN   | ANTI REUMATICOS NAO ESTEROIDAIS PU | ACECLOFENACO   | EMS PHARMA       | 24UN | ACECLOFENACO REVESTIDO 100MG 24CPRS
65 SKUs: 1UN 1, OUTRA CATEGORIA 3
