barcode;descriptions
7898000000063;"{""TINIDAZOL 10MG 30 COMP PRD""}"
7898000000064;"{""OSTE K2 10MG 30 COMP ""}"
7898000000065;"{""LONIUM 10MG 30 COMP APS""}"
7898000000066;"{""FLUQUADRI 10MG 30 COMP ""}"
7898000000067;"{""MINOXIDIL 10MG 30 COMP ACH""}"
7898000000068;"{""ZOUP SL 10MG 30 COMP SPR""}"
7898000000069;"{""MELWENZEL 10MG 30 COMP HER""}"
7898000000070;"{""HIDRASIM 10MG 30 COMP ""}"
7898000000071;"{""FITO ERVAS 10MG 30 COMP ""}"
7898000000072;"{""DORILAX 10MG 30 COMP ACH""}"
7898000000073;"{""CLOR DE SIBUTRAMINA 10MG 30 COMP EUR""}"
7898000000074;"{""TYFLEN 10MG 30 COMP ""}"
7898000000075;"{""DOLOMITA 10MG 30 COMP HEM""}"
7898000000076;"{""BENECTRIN 10MG 30 COMP LEG""}"
7898000000077;"{""PREVIANE 10MG 30 COMP LEG""}"
7898000000078;"{""FITOSCAR 10MG 30 COMP ""}"
7898000000079;"{""OMEPRAZOL 10MG 30 COMP PRD""}"
7898000000080;"{""NEORUB 10MG 30 COMP ""}"
7898000000081;"{""GLUNAC 10MG 30 COMP ""}"
7898000000082;"{""VORTIOXETINA 10MG 30 COMP ""}"
7898000000083;"{""MEFLAGIN 10MG 30 COMP ""}"
7898000000084;"{""FABRAZYME 10MG 30 COMP SNF""}"
7898000000085;"{""RISPERIDONA 10MG 30 COMP BIO""}"
7898000000086;"{""AZITROMICINA 10MG 30 COMP MED""}"
7898000000087;"{""CALMADOR 10MG 30 COMP ""}"
7898000000088;"{""NOVANOITE MELATONI 10MG 30 COMP ""}"
7898000000089;"{""LIBRENE 10MG 30 COMP EXE""}"
7898000000090;"{""CLOR DE CICLOBENZAPRINA 10MG 30 COMP ""}"
7898000000091;"{""GLINK 10MG 30 COMP MET""}"
7898000000092;"{""CITALOPRAM 10MG 30 COMP MED""}"
7898000000093;"{""NATZ KIDS 10MG 30 COMP ""}"
7898000000094;"{""LIPFITE 10MG 30 COMP ""}"
7898000000095;"{""AMOXICILINA CLAVULANATO 10MG 30 COMP CEL""}"
7898000000096;"{""TARGUS 10MG 30 COMP BAG""}"
7898000000097;"{""BASAGLAR 10MG 30 COMP ""}"
7898000000098;"{""PLAGEX 10MG 30 COMP TEU""}"
7898000000099;"{""PRESSOMED 10MG 30 COMP ""}"
7898000000100;"{""FLUOCINOLONA ACET POLIMIXINA B NEOM LIDOC 10MG 30 COMP GEO""}"
7898000000101;"{""GLICENIX 10MG 30 COMP GLO""}"
7898000000102;"{""TRIPLIXAM 10MG 30 COMP ""}"
7898000000103;"{""HBACTER 10MG 30 COMP CIF""}"
7898000000104;"{""RASAGILINA 10MG 30 COMP ""}"
7898000000105;"{""NEOTOSS 10MG 30 COMP NEO""}"
7898000000106;"{""PROGRAF 10MG 30 COMP AST""}"
7898000000107;"{""MESALAZINA 10MG 30 COMP PRD""}"
7898000000108;"{""AUGEVIT 10MG 30 COMP ""}"
7898000000109;"{""BIMATOPROSTA COLIRIO 10MG 30 COMP MED""}"
7898000000110;"{""ENTOMAC 10MG 30 COMP INR""}"
7898000000111;"{""MOTILEX 10MG 30 COMP ""}"
7898000000112;"{""TROMETAMOL CETOROLACO COLIRIO 10MG 30 COMP EMS""}"
7898000000113;"{""TADALAFILA 10MG 30 COMP PRD""}"
7898000000114;"{""ATENOLOL 10MG 30 COMP VTM""}"
7898000000115;"{""ASEA HCT 10MG 30 COMP SPR""}"
7898000000116;"{""WARYZ 10MG 30 COMP CIM""}"
7898000000117;"{""UMCKAN 10MG 30 COMP FRQ""}"
7898000000118;"{""FLUCISTEIN 10MG 30 COMP UNI""}"
7898000000119;"{""SORINE 10MG 30 COMP ACH""}"
7898000000120;"{""PROCTOGLOBO 10MG 30 COMP GLO""}"
7898000000121;"{""TIOTRAX 10MG 30 COMP EMS""}"
7898000000122;"{""MAXIDRATE 10MG 30 COMP ""}"
7898000000123;"{""EXJADE 10MG 30 COMP NOV""}"
7898000000124;"{""VENOVAZ 10MG 30 COMP ""}"
7898000000125;"{""ITRAX 10MG 30 COMP ""}"
7898000000126;"{""TARTARATO DE METOPROLOL 10MG 30 COMP BIO""}"
7898000000127;"{""GRUNENTHAL 10MG 30 COMP ""}"
7898000000128;"{""ALBENDAZOL 10MG 30 COMP GEO""}"
7898000000129;"{""MICONASTIN 10MG 30 COMP PHA""}"
7898000000130;"{""HEMITARTARATO DE ZOLPIDEM 10MG 30 COMP EUR""}"
7898000000131;"{""CLOR DE DORZOLAMIDA 10MG 30 COMP GEO""}"
7898000000132;"{""RIVAROXABANA 10MG 30 COMP ACH""}"
7898000000133;"{""CALCIPLEX 10MG 30 COMP ""}"
7898000000134;"{""NEODIA 10MG 30 COMP NEO""}"
7898000000135;"{""ARTRITEC 10MG 30 COMP ""}"
7898000000136;"{""DESLORATADINA 10MG 30 COMP PHA""}"
7898000000137;"{""EZONIA 10MG 30 COMP ""}"
7898000000138;"{""CARVEDILOL 10MG 30 COMP GER""}"
7898000000139;"{""DORFEBRIL 10MG 30 COMP ""}"
7898000000140;"{""LACIPIL 10MG 30 COMP GSK""}"
7898000000141;"{""KAOSEC 10MG 30 COMP PHC""}"
7898000000142;"{""NEOTIAPIM 10MG 30 COMP MOK""}"
7898000000143;"{""BELPELE 10MG 30 COMP FRQ""}"
7898000000144;"{""CLOR DE CIPROFLOXACINO 10MG 30 COMP MED""}"
7898000000145;"{""MEGA CALCIO 10MG 30 COMP ARO""}"
7898000000146;"{""LACTULAXY 10MG 30 COMP AIR""}"
7898000000147;"{""PEPTULAN 10MG 30 COMP ""}"
7898000000148;"{""ESPASMOPAN COMPOSTO 10MG 30 COMP ""}"
7898000000149;"{""CELLCEPT 10MG 30 COMP ""}"
7898000000150;"{""LORAZEPAN 10MG 30 COMP TEU""}"
7898000000151;"{""PERFER 10MG 30 COMP NEO""}"
7898000000152;"{""ESPIRONOLACTONA 10MG 30 COMP GER""}"
7898000000153;"{""VAGI C 10MG 30 COMP MAR""}"
7898000000154;"{""LEVOFLOXACINO 10MG 30 COMP GEO""}"
7898000000155;"{""HERVAS BRASIL 10MG 30 COMP HRB""}"
7898000000156;"{""TOBRAMICINA 10MG 30 COMP LEG""}"
7898000000157;"{""INIPARET 10MG 30 COMP SDZ""}"
7898000000158;"{""DICLORIDRATO DE TRIMETAZIDIN 10MG 30 COMP NEO""}"
7898000000159;"{""CIPROFLONAX 10MG 30 COMP BIS""}"
7898000000160;"{""BENETOSSE 10MG 30 COMP HYP""}"
7898000000161;"{""CLOR DE ONDANSETRONA 10MG 30 COMP GER""}"
7898000000162;"{""CIPROTERONA 10MG 30 COMP CIF""}"
7898000000163;"{""DIFFUCAP 10MG 30 COMP DIF""}"
7898000000164;"{""SULPH 10MG 30 COMP PRD""}"
7898000000165;"{""DIGLUSS 10MG 30 COMP GLO""}"
7898000000166;"{""ACIDOGEL 10MG 30 COMP ""}"
7898000000167;"{""NASALEZE 10MG 30 COMP ""}"
7898000000168;"{""PYRITZINNOBER 10MG 30 COMP WEL""}"
7898000000169;"{""CLOR DE TRAMADOL PARACETAMOL 10MG 30 COMP EUR""}"
7898000000170;"{""ELIGARD 10MG 30 COMP ADI""}"
7898000000171;"{""EUCIL 10MG 30 COMP ""}"
7898000000172;"{""ACEBROFILINA 10MG 30 COMP NVQ""}"
7898000000173;"{""CICLOBENZAPRINA 10MG 30 COMP CIM""}"
7898000000174;"{""LIDOCAINA 10MG 30 COMP CRI""}"
7898000000175;"{""OXALATO DE ESCITALOPRAM 10MG 30 COMP BIS""}"
7898000000176;"{""HYDRASTIS 10MG 30 COMP VID""}"
7898000000177;"{""RISPERIDONA 10MG 30 COMP SDZ""}"
7898000000178;"{""PRAMIPEXOL 10MG 30 COMP SDZ""}"
7898000000179;"{""FORHELTH 10MG 30 COMP ""}"
7898000000180;"{""CAPY 10MG 30 COMP EMS""}"
7898000000181;"{""TRAVOPTIC 10MG 30 COMP ""}"
7898000000182;"{""NUTRIFY 10MG 30 COMP ""}"
7898000000183;"{""RUBENTI 10MG 30 COMP ABB""}"
7898000000184;"{""SUCCINATO DE SOLIFENACINA 10MG 30 COMP NVQ""}"
7898000000185;"{""THERAPI 10MG 30 COMP ""}"
7898000000186;"{""ARESE 10MG 30 COMP ""}"
7898000000187;"{""MESIGYNA 10MG 30 COMP BAY""}"
7898000000188;"{""TININ 10MG 30 COMP GEO""}"
7898000000189;"{""PLASMOVE 10MG 30 COMP ""}"
7898000000190;"{""KETALGI 10MG 30 COMP ""}"
7898000000191;"{""LACLAZE 10MG 30 COMP ASS""}"
7898000000192;"{""LACRIBELL 10MG 30 COMP CRI""}"
7898000000193;"{""KNORTEX 10MG 30 COMP MUL""}"
7898000000194;"{""BRASTERAPICA 10MG 30 COMP ""}"
7898000000195;"{""NADERM 10MG 30 COMP ""}"
7898000000196;"{""SILICOT 10MG 30 COMP ""}"
7898000000197;"{""LACTOFOS 10MG 30 COMP ""}"
7898000000198;"{""ASTELLAS 10MG 30 COMP AST""}"
7898000000199;"{""COLEDUE R 10MG 30 COMP ""}"
7898000000200;"{""ATORVASTATINA 10MG 30 COMP TEU""}"
7898000000201;"{""DEBET 10MG 30 COMP ""}"
7898000000202;"{""MALACAL SPORT 10MG 30 COMP BRS""}"
7898000000203;"{""CLOR DE AMBROXOL 10MG 30 COMP NVQ""}"
7898000000204;"{""BRUKINSA 10MG 30 COMP ADI""}"
7898000000205;"{""GLICENIX 10MG 30 COMP ""}"
7898000000206;"{""RESFRILIV 10MG 30 COMP GEO""}"
7898000000207;"{""AQUABEN 10MG 30 COMP ""}"
7898000000208;"{""BORG 10MG 30 COMP ASS""}"
7898000000209;"{""4 FLEX 10MG 30 COMP ""}"
7898000000210;"{""PRATIC 10MG 30 COMP ""}"
7898000000211;"{""YOMAX 10MG 30 COMP ""}"
7898000000212;"{""OXIPELLE 10MG 30 COMP ""}"
7898000000213;"{""BOLDOBEBA 10MG 30 COMP ""}"
7898000000214;"{""HIDRORAL 10MG 30 COMP ""}"
7898000000215;"{""ROHYPNOL 10MG 30 COMP ""}"
7898000000216;"{""ALENDRONATO DE SODIO 10MG 30 COMP NVQ""}"
7898000000217;"{""AVIV 10MG 30 COMP MAN""}"
7898000000218;"{""DARTRIAL 10MG 30 COMP SPR""}"
7898000000219;"{""ROSUCOR 10MG 30 COMP ""}"
7898000000220;"{""IMOVANE 10MG 30 COMP ""}"
7898000000221;"{""CIMETOSSE 10MG 30 COMP ""}"
7898000000222;"{""SILIMALON 10MG 30 COMP ""}"
7898000000223;"{""DRENATAN 10MG 30 COMP OFV""}"
7898000000224;"{""GUACOFLUS 10MG 30 COMP AIR""}"
7898000000225;"{""RESSALIV 10MG 30 COMP PRE""}"
7898000000226;"{""HIDROXILIV 10MG 30 COMP ""}"
7898000000227;"{""MOTILEX 10MG 30 COMP APS""}"
7898000000228;"{""CANNABIS 10MG 30 COMP ACH""}"
7898000000229;"{""CALCIO D3 10MG 30 COMP ""}"
7898000000230;"{""NATURETTI 10MG 30 COMP HYP""}"
7898000000231;"{""MINTI 10MG 30 COMP EUR""}"
7898000000232;"{""MYLUS 10MG 30 COMP ""}"
7898000000233;"{""NARATRIN 10MG 30 COMP ""}"
7898000000234;"{""FLUIDSORO 10MG 30 COMP ""}"
7898000000235;"{""BESILATO DE ANLODIPINO 10MG 30 COMP BIS""}"
7898000000236;"{""CETROTIDE 10MG 30 COMP ""}"
7898000000237;"{""BONVIVA 10MG 30 COMP CEL""}"
7898000000238;"{""GLIZITRAT 10MG 30 COMP GLL""}"
7898000000239;"{""EMPAGLIFLOZINA 10MG 30 COMP MDQ""}"
7898000000240;"{""MUNOLAN 10MG 30 COMP HYP""}"
7898000000241;"{""TRIANCINOLONA ACETONIDA 10MG 30 COMP PRD""}"
7898000000242;"{""CLOPIPLAX 10MG 30 COMP NVQ""}"
7898000000243;"{""NYPRAM 10MG 30 COMP PRD""}"
7898000000244;"{""ALBENTEL 10MG 30 COMP TEU""}"
7898000000245;"{""DAFORIN 10MG 30 COMP ""}"
7898000000246;"{""OPTI 10MG 30 COMP ""}"
7898000000247;"{""HIDRATEEE 10MG 30 COMP ""}"
7898000000248;"{""CICLORTEN 10MG 30 COMP ""}"
7898000000249;"{""TRAVATAN 10MG 30 COMP ALC""}"
7898000000250;"{""PARACETAMOL 10MG 30 COMP NEO""}"
7898000000251;"{""ALFAESTRADIOL 10MG 30 COMP ""}"
7898000000252;"{""OPDIVO 10MG 30 COMP ""}"
7898000000253;"{""FINASTERIDA 10MG 30 COMP MUL""}"
7898000000254;"{""SODIX 10MG 30 COMP GEO""}"
7898000000255;"{""BEZAFIBRATO 10MG 30 COMP EMS""}"
7898000000256;"{""TROK 10MG 30 COMP ""}"
7898000000257;"{""EFURIX 10MG 30 COMP ""}"
7898000000258;"{""OKOTICO 10MG 30 COMP SPR""}"
7898000000259;"{""HOLMES 10MG 30 COMP EUR""}"
7898000000260;"{""CLOR DE CLOMIPRAMINA 10MG 30 COMP EMS""}"
7898000000261;"{""HEMITARTARATO DE ZOLPIDEM 10MG 30 COMP MDQ""}"
7898000000262;"{""DEXAMETASONA 10MG 30 COMP PHA""}"
7898000000263;"{""OSTEOPREVIX 10MG 30 COMP AIR""}"
7898000000264;"{""PARACETAMOL CAFEINA 10MG 30 COMP GER""}"
7898000000265;"{""NIMESULIDA 10MG 30 COMP GER""}"
7898000000266;"{""GASTROL 10MG 30 COMP ""}"
7898000000267;"{""SIMETICONA 10MG 30 COMP GER""}"
7898000000268;"{""DEXAMETONAL 10MG 30 COMP ""}"
7898000000269;"{""ROCEFIN 10MG 30 COMP ""}"
7898000000270;"{""COMTAN 10MG 30 COMP ""}"
7898000000271;"{""DIPRIN 10MG 30 COMP ""}"
7898000000272;"{""LACTOLINEA 10MG 30 COMP ""}"
7898000000273;"{""DIAZEPAM 10MG 30 COMP GER""}"
7898000000274;"{""CORUS 10MG 30 COMP ACH""}"
7898000000275;"{""OFOLIFLEX 10MG 30 COMP ""}"
7898000000276;"{""NEO GENTAMICIN 10MG 30 COMP NEO""}"
7898000000277;"{""HEMITARTARATO DE ZOLPIDEM 10MG 30 COMP GER""}"
7898000000278;"{""ALIVETORE 10MG 30 COMP ABB""}"
7898000000279;"{""ALGI-BUTAZOLON 10MG 30 COMP ""}"
7898000000280;"{""ESTOMANOL 10MG 30 COMP VTM""}"
7898000000281;"{""MONOCORDIL 10MG 30 COMP ""}"
7898000000282;"{""ECASIL 10MG 30 COMP BIO""}"
7898000000283;"{""COMBIGAN 10MG 30 COMP ""}"
7898000000284;"{""TRIAXIN 10MG 30 COMP MOM""}"
7898000000285;"{""RHENUKS 10MG 30 COMP ""}"
7898000000286;"{""GLYXAMBI 10MG 30 COMP BOE""}"
7898000000287;"{""MEBENDAZOL 10MG 30 COMP BEL""}"
7898000000288;"{""VIRINEO 10MG 30 COMP ""}"
7898000000289;"{""HALDOL 10MG 30 COMP ""}"
7898000000290;"{""HIOSPAN 10MG 30 COMP ""}"
7898000000291;"{""BELPELE 10MG 30 COMP ""}"
7898000000292;"{""DESTILBENOL 10MG 30 COMP APS""}"
7898000000293;"{""BONVIVA 10MG 30 COMP ""}"
7898000000294;"{""DIAZEPAM 10MG 30 COMP NVQ""}"
7898000000295;"{""MOBILITY ACTION 10MG 30 COMP ""}"
7898000000296;"{""CONDROLESS 10MG 30 COMP MET""}"
7898000000297;"{""GLAMIGAN 10MG 30 COMP ""}"
7898000000298;"{""CYSTEX 10MG 30 COMP ""}"
7898000000299;"{""NAPILLUS 10MG 30 COMP NAP""}"
7898000000300;"{""SATYA 10MG 30 COMP STY""}"
7898000000301;"{""RITALINA 10MG 30 COMP NOV""}"
7898000000302;"{""ABOVE 10MG 30 COMP ""}"
7898000000303;"{""MUWIZ 10MG 30 COMP ""}"
7898000000304;"{""SUAVICID 10MG 30 COMP ""}"
7898000000305;"{""GLYQUIN 10MG 30 COMP BAU""}"
7898000000306;"{""SOFTDERM 10MG 30 COMP ELO""}"
7898000000307;"{""BENZODERM 10MG 30 COMP ""}"
7898000000308;"{""SUPRASPECTOR 10MG 30 COMP ASS""}"
7898000000309;"{""CALTRATE D 10MG 30 COMP PFI""}"
7898000000310;"{""JAQUE 10MG 30 COMP EMS""}"
7898000000311;"{""VARICOSS 10MG 30 COMP CIF""}"
7898000000312;"{""CORTICORTEN 10MG 30 COMP NEO""}"
7898000000313;"{""MULTILAB 10MG 30 COMP MUL""}"
7898000000314;"{""CLOR DE RALOXIFENO 10MG 30 COMP BVR""}"
7898000000315;"{""LUBRINAT 10MG 30 COMP ""}"
7898000000316;"{""SIMETICONA 10MG 30 COMP ACH""}"
7898000000317;"{""GENGIMIN 10MG 30 COMP ""}"
7898000000318;"{""BESILATO DE LEVANLODIPINO 10MG 30 COMP BIO""}"
7898000000319;"{""VIGORA 10MG 30 COMP ""}"
7898000000320;"{""KTRIZ 10MG 30 COMP ""}"
7898000000321;"{""MICRODIOL 10MG 30 COMP ""}"
7898000000322;"{""LACTUGAN 10MG 30 COMP ""}"
7898000000323;"{""BENZOILMETRONID 10MG 30 COMP ""}"
7898000000324;"{""VITAMEDIC 10MG 30 COMP VMD""}"
7898000000325;"{""CLOFEN 10MG 30 COMP CIM""}"
7898000000326;"{""CLOR DE FEXOFENADINA 10MG 30 COMP NEO""}"
7898000000327;"{""CARBOCISTEINA XAROPE 10MG 30 COMP NEO""}"
7898000000328;"{""ALGESTONA ACETOFENIDA ENANTATO DE ESTRADIOL 10MG 30 COMP GER""}"
7898000000329;"{""CIPROFLONAX 10MG 30 COMP TEU""}"
7898000000330;"{""QUEIMAVIT 10MG 30 COMP ""}"
7898000000331;"{""MINIMA 10MG 30 COMP ""}"
7898000000332;"{""SUL DE HIDROXICLOROQUINA 10MG 30 COMP GER""}"
7898000000333;"{""CICLOPIROX OLAMINA 10MG 30 COMP GLO""}"
7898000000334;"{""RIVAROXABANA 10MG 30 COMP NEO""}"
7898000000335;"{""REGRESSA 10MG 30 COMP ACH""}"
7898000000336;"{""MOTIRIDONA 10MG 30 COMP ""}"
7898000000337;"{""SULFADIAZINA 10MG 30 COMP PRD""}"
7898000000338;"{""HEALTHLABS 10MG 30 COMP HEL""}"
7898000000339;"{""CLAVULIN 10MG 30 COMP GSK""}"
7898000000340;"{""PENTASA 10MG 30 COMP ""}"
7898000000341;"{""PEN VE ORAL 10MG 30 COMP SPR""}"
7898000000342;"{""CATAFLAMPRO 10MG 30 COMP ""}"
7898000000343;"{""AIRES 10MG 30 COMP ""}"
7898000000344;"{""AD TIL 10MG 30 COMP HYP""}"
7898000000345;"{""SPRYCEL 10MG 30 COMP ""}"
7898000000346;"{""BOSPULMO 10MG 30 COMP SUN""}"
7898000000347;"{""ONCIPEL 10MG 30 COMP ""}"
7898000000348;"{""CETIVA 10MG 30 COMP MAN""}"
7898000000349;"{""LUBIP 10MG 30 COMP ""}"
7898000000350;"{""COMPLEXO A 10MG 30 COMP ALM""}"
7898000000351;"{""DELTACID 10MG 30 COMP SVY""}"
7898000000352;"{""ALGICOD 10MG 30 COMP ""}"
7898000000353;"{""DOZOITO 10MG 30 COMP BIO""}"
7898000000354;"{""DEPAKOTE ER 10MG 30 COMP ""}"
7898000000355;"{""FENERGAN 10MG 30 COMP OPE""}"
7898000000356;"{""NIENZA 10MG 30 COMP ""}"
7898000000357;"{""DISFORARTRO 10MG 30 COMP ""}"
7898000000358;"{""PROVANCE IMUNE 10MG 30 COMP ACH""}"
7898000000359;"{""GABAPENTINA 10MG 30 COMP EUR""}"
7898000000360;"{""ECOFILM 10MG 30 COMP ""}"
7898000000361;"{""PARASIN 10MG 30 COMP ""}"
7898000000362;"{""LIDOCAINA 10MG 30 COMP EMS""}"
7898000000363;"{""CATAFLAMPRO 10MG 30 COMP NOV""}"
7898000000364;"{""ASMAPEN 10MG 30 COMP NEO""}"
7898000000365;"{""HEMIFUMARATO DE BISOPROLOL 10MG 30 COMP NVQ""}"
7898000000366;"{""METADOXIL 10MG 30 COMP BAL""}"
7898000000367;"{""SYNTHROID 10MG 30 COMP ABB""}"
7898000000368;"{""PROPOLIS VERDE 10MG 30 COMP ""}"
7898000000369;"{""OCTIFEN 10MG 30 COMP UNI""}"
7898000000370;"{""LINAGLIPTINA 10MG 30 COMP HYP""}"
7898000000371;"{""NIMEGON MET 10MG 30 COMP SPR""}"
7898000000372;"{""CASTANHADAINDIA 10MG 30 COMP ""}"
7898000000373;"{""OSTEOFIX D 10MG 30 COMP ""}"
7898000000374;"{""CITALOPRAM 10MG 30 COMP EMS""}"
7898000000375;"{""OMEPRAMIX 10MG 30 COMP ""}"
7898000000376;"{""NOSKOTE 10MG 30 COMP ""}"
7898000000377;"{""AFINITOR 10MG 30 COMP ""}"
7898000000378;"{""MAL DEXCLO BETA XAROPE 10MG 30 COMP ""}"
7898000000379;"{""CLOR DE TRAZODONA 10MG 30 COMP NEO""}"
7898000000380;"{""RISPERDAL 10MG 30 COMP ""}"
7898000000381;"{""ACEBROFILINA 10MG 30 COMP GER""}"
7898000000382;"{""CIPRO 10MG 30 COMP ""}"
7898000000383;"{""CLOR DE LOPERAMIDA 10MG 30 COMP PHA""}"
7898000000384;"{""CETOCONAZOL 10MG 30 COMP EMS""}"
7898000000385;"{""MONTELUCASTE 10MG 30 COMP TEU""}"
7898000000386;"{""SABRIL 10MG 30 COMP SNF""}"
7898000000387;"{""CAMOMILA 10MG 30 COMP CAT""}"
7898000000388;"{""PIOSAN 10MG 30 COMP BEL""}"
7898000000389;"{""ASPMOL 10MG 30 COMP BAY""}"
7898000000390;"{""GABAPENTINA 10MG 30 COMP EMS""}"
7898000000391;"{""TOBRADEX 10MG 30 COMP ALC""}"
7898000000392;"{""OKOTICO 10MG 30 COMP ""}"
7898000000393;"{""OSS-FOR 10MG 30 COMP ""}"
7898000000394;"{""PIMEL 10MG 30 COMP ""}"
7898000000395;"{""NANOPROPOLIS 10MG 30 COMP APV""}"
7898000000396;"{""BROMETO DE IPRATROPIO 10MG 30 COMP PRD""}"
7898000000397;"{""ZOLTEC 10MG 30 COMP ""}"
7898000000398;"{""AROPAX 10MG 30 COMP ""}"
7898000000399;"{""DORILEN 10MG 30 COMP ""}"
7898000000400;"{""COLIC CALM 10MG 30 COMP MRJ""}"
7898000000401;"{""ESOMEPRAZOL 10MG 30 COMP NVQ""}"
7898000000402;"{""ANADOR 10MG 30 COMP OPE""}"
7898000000403;"{""BIOVICERIN 10MG 30 COMP ""}"
7898000000404;"{""NOINTOX 10MG 30 COMP ""}"
7898000000405;"{""MELOXICAM 10MG 30 COMP MED""}"
7898000000406;"{""POLARYN 10MG 30 COMP TEU""}"
7898000000407;"{""ALGI TANDERIL 10MG 30 COMP ""}"
7898000000408;"{""ATENOLAB 10MG 30 COMP MUL""}"
7898000000409;"{""MARESIS PROTECT 10MG 30 COMP ""}"
7898000000410;"{""GABA ER 10MG 30 COMP ""}"
7898000000411;"{""RIXIMYO 10MG 30 COMP ""}"
7898000000412;"{""NITRA MICONAZOL 10MG 30 COMP NEO""}"
7898000000413;"{""RIFOCINA 10MG 30 COMP SNF""}"
7898000000414;"{""NOVO NORDISK 10MG 30 COMP ""}"
7898000000415;"{""CORTIDEX 10MG 30 COMP PHA""}"
7898000000416;"{""TRIAZOL 10MG 30 COMP ""}"
7898000000417;"{""ESOP 10MG 30 COMP ""}"
7898000000418;"{""MELOXICAM 10MG 30 COMP PHA""}"
7898000000419;"{""NOOTROPIL 10MG 30 COMP SNF""}"
7898000000420;"{""OTO XILODASE 10MG 30 COMP APS""}"
7898000000421;"{""VOEXTOR 10MG 30 COMP LIB""}"
7898000000422;"{""NOINTOX 10MG 30 COMP CIF""}"
