COM ENTEROGERMINA (OPE)          | marca ENTEROGERMINA          (esp. ENTEROGERMINA (OPE)) | fab OPELLA                 (esp. OPELLA) | A07F MICROORGANISMOS ANTIDIARREICOS | ENTEROGERMINA OPE 10MG 30CPRS
COM JANSSEN KEN                  | marca JANSSEN                (esp. JANSSEN) | fab KENVUE                 (esp. KENVUE) | OUTRA CATEGORIA | COMP JANSSEN COMPOSTO KEN 30UN
COM SOBRAL SOB                   | marca SOBRAL                 (esp. SOBRAL) | fab THEODORO F SOBRAL E CIA (esp. THEODORO F SOBRAL E CIA) | OUTRA CATEGORIA | COMP SOBRAL COMPOSTO SOB 30UN
COM PEDIALYTE MAX ABB            | marca PEDIALYTE              (esp. PEDIALYTE MAX) | fab ABBOTT                 (esp. ABBOTT) | A07G REPOSITORES ELECTROLITICOS ORAIS | PEDIALYTE MAX 10MG 30CPRS
COM HERBARIUM HER                | marca HERBARIUM              (esp. HERBARIUM) | fab HERBARIUM              (esp. HERBARIUM) | OUTRA CATEGORIA | COMP HERBARIUM COMPOSTO HER 30UN
COM JANSSEN JNS                  | marca JANSSEN                (esp. JANSSEN) | fab KENVUE                 (esp. JANSSEN) | OUTRA CATEGORIA | COMP JANSSEN COMPOSTO JNS 30UN
COM GUTTALAX (OPE)               | marca GUTTALAX               (esp. GUTTALAX (OPE)) | fab OPELLA                 (esp. OPELLA) | A06A2 LAXANTES ESTIMULANTES | GUTTALAX OPE 10MG 30CPRS
COM CAMOMILA CAT                 | marca OUTRA MARCA            (esp. CAMOMILA) | fab OUTRO FABRICANTE       (esp. CATARINENSE PHARMA) | ERVA CHA | ERVA CHA CAMOMILA COMPOSTO CAT 30UN
COM PILULAS DE ERVA DE BICHO COMPOSTAS IMESCARD OSO | marca IMESCARD               (esp. PILULAS DE ERVA DE BICHO COMPOSTAS IMESCARD) | fab OSORIO DE MORAES       (esp. OSORIO DE MORAES) | A06A2 LAXANTES ESTIMULANTES | IMESCARD PILULAS DE ERVA DE BICHO COMPOSTAS 10MG 30CPRS
COM NOVALGINA (OPE)              | marca NOVALGINA              (esp. NOVALGINA (OPE)) | fab OPELLA                 (esp. OPELLA) | A01A ESTOMATOLOGICOS | NOVALGINA OPE 10MG 30CPRS
GEN CLOR DE SIBUTRAMINA BIO      | marca SIBUTRAMINA            (esp. SIBUTRAMINA) | fab BIOLAB                 (esp. ACHE LABORATORIOS FARMACEUTICOS SA) | A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS | SIBUTRAMINA CLOR DE 10MG 30CPRS
COM DOVALLE DOV                  | marca DOVALLE                (esp. DOVALLE) | fab DOVALLE                (esp. DOVALLE) | OUTRA CATEGORIA | COMP DOVALLE COMPOSTO DOV 30UN
COM SANDOZ SDZ                   | marca SANDOZ                 (esp. SANDOZ) | fab SANDOZ                 (esp. SANDOZ) | OUTRA CATEGORIA | COMP SANDOZ COMPOSTO SDZ 30UN
GEN LACTULOSE NTX                | marca LACTULOSE              (esp. LACTULOSE) | fab OUTRO FABRICANTE       (esp. PAGUE MENOS) | A06A6 LAXANTES OSMOTICOS | LACTULOSE NTX 10MG 30CPRS
COM HUMAPEN HUM                  | marca HUMAPEN                (esp. HUMAPEN) | fab HUMAPEN                (esp. HUMAPEN) | OUTRA CATEGORIA | COMP HUMAPEN COMPOSTO HUM 30UN
COM LABORATORIO CATARINENSE CAT  | marca LABORATORIO            (esp. LABORATORIO CATARINENSE) | fab CATARINENSE PHARMA     (esp. CATARINENSE PHARMA) | A02A1 ANTIACIDOS PUROS | LABORATORIO CAT 10MG 30CPRS
COM LIQUIDZ                      | marca LIQUIDZ                (esp. LIQUIDZ) | fab LIQUIDZ                (esp. LIQUIDZ) | OUTRA CATEGORIA | COMP LIQUIDZ COMPOSTO 30UN
COM PANVEL                       | marca PANVEL                 (esp. PANVEL) | fab GRUPO PANVEL           (esp. GRUPO PANVEL) | OUTRA CATEGORIA | COMP PANVEL COMPOSTO 30UN
COM KRESS KRE                    | marca KRESS                  (esp. KRESS) | fab KRESS FARMACEUTICA     (esp. KRESS FARMACEUTICA) | OUTRA CATEGORIA | COMP KRESS COMPOSTO KRE 30UN
COM RB                           | marca OUTRA MARCA            (esp. RB) | fab OUTRO FABRICANTE       (esp. SIN PROVEEDOR ASOCIADO) | OUTRA CATEGORIA | COMP COMPOSTO 30UN
COM LIQUID IV                    | marca LIQUID                 (esp. LIQUID) | fab NATIQUE                (esp. UNILEVER) | OUTRA CATEGORIA | COMP LIQUID COMPOSTO 30UN
COM SORALYT SOB                  | marca SORALYT                (esp. SORALYT) | fab THEODORO F SOBRAL E CIA (esp. SOBRAL) | A07G REPOSITORES ELECTROLITICOS ORAIS | SORALYT 10MG 30CPRS
COM ULTRA FINE                   | marca FINE                   (esp. ULTRA) | fab OUTRO FABRICANTE       (esp. BECTON DICKINSON) | OUTRA CATEGORIA | ULTRA FINE COMPOSTO 30UN
COM IFAL IFA                     | marca IFAL                   (esp. IFAL) | fab IFAL                   (esp. IFAL) | OUTRA CATEGORIA | COMP IFAL COMPOSTO IFA 30UN
COM BRASTERAPICA BRS             | marca BRASTERAPICA           (esp. BRASTERAPICA) | fab BRASTERAPICA           (esp. BRASTERAPICA) | OUTRA CATEGORIA | COMP BRASTERAPICA COMPOSTO BRS 30UN
COM ASTRAZENECA AZN              | marca ASTRAZENECA            (esp. ASTRAZENECA) | fab ASTRAZENECA            (esp. ASTRAZENECA) | OUTRA CATEGORIA | COMP ASTRAZENECA COMPOSTO AZN 30UN
COM CULTURELLE CIF               | marca CULTURELLE             (esp. CULTURELLE) | fab CIFARMA                (esp. EMS PHARMA) | A07F MICROORGANISMOS ANTIDIARREICOS | CULTURELLE 10MG 30CPRS
COM CATARINENSE                  | marca CATARINENSE            (esp. CATARINENSE) | fab CATARINENSE PHARMA     (esp. CATARINENSE PHARMA) | OUTRA CATEGORIA | COMP CATARINENSE COMPOSTO 30UN
COM NATCOFARMA                   | marca NATCOFARMA             (esp. NATCOFARMA) | fab NATCOFARMA LTDA        (esp. NATCOFARMA LTDA) | OUTRA CATEGORIA | COMP NATCOFARMA COMPOSTO 30UN
COM ALMEIDA PRADO ALM            | marca PRADO                  (esp. ALMEIDA PRADO) | fab ALMEIDA PRADO          (esp. ALMEIDA PRADO) | A07F MICROORGANISMOS ANTIDIARREICOS | PRADO ALM 10MG 30CPRS
COM UNIPHAR UNP                  | marca UNIPHAR                (esp. UNIPHAR) | fab UNIPHAR                (esp. UNIPHAR) | OUTRA CATEGORIA | COMP UNIPHAR COMPOSTO UNP 30UN
COM NATIVITA NTV                 | marca NATIVITA               (esp. NATIVITA) | fab NATIVITA FARMACEUTICA  (esp. NATIVITA FARMACEUTICA) | OUTRA CATEGORIA | COMP NATIVITA COMPOSTO NTV 30UN
COM ADV ADV                      | marca ADV                    (esp. ADV) | fab ADV                    (esp. ADV) | OUTRA CATEGORIA | COMP ADV COMPOSTO 30UN
COM FARMAX FAM                   | marca FARMAX                 (esp. FARMAX) | fab FARMAX CIA             (esp. FARMAX CIA) | OUTRA CATEGORIA | COMP FARMAX COMPOSTO FAM 30UN
COM BENDCAL K2                   | marca OUTRA MARCA            (esp. BENDCAL) | fab OUTRO FABRICANTE       (esp. STARTFARMA) | OUTRA CATEGORIA | BENDCAL COMPOSTO 30UN
COM ECOFITUS ECF                 | marca ECOFITUS               (esp. ECOFITUS) | fab ECOFITUS               (esp. ECOFITUS) | OUTRA CATEGORIA | COMP ECOFITUS COMPOSTO ECF 30UN
COM BIOFHITUS BFT                | marca BIOFHITUS              (esp. BIOFHITUS) | fab BIOFHITUS              (esp. BIOFHITUS) | OUTRA CATEGORIA | COMP BIOFHITUS COMPOSTO BFT 30UN
COM ADV TAY                      | marca ADV                    (esp. ADV) | fab ADV                    (esp. TAYUYNA) | OUTRA CATEGORIA | COMP ADV COMPOSTO TAY 30UN
COM REGULAX FIBRAS               | marca REGULAX FIBRAS         (esp. REGULAX FIBRAS) | fab OUTRO FABRICANTE       (esp. ECOFITUS) | A06A1 LAXANTES SUAVIZANTES | REGULAX FIBRAS 10MG 30CPRS
COM MAXINUTRI MAX                | marca MAXINUTRI              (esp. MAXINUTRI) | fab MAXINUTRI              (esp. MAXINUTRI) | OUTRA CATEGORIA | COMP MAXINUTRI COMPOSTO MAX 30UN
COM PAGUE MENOS                  | marca PAGUE MENOS            (esp. PAGUE MENOS) | fab PAGUE MENOS            (esp. PAGUE MENOS) | OUTRA CATEGORIA | COMP PAGUE MENOS COMPOSTO 30UN
COM PANVEL PVL                   | marca PANVEL                 (esp. PANVEL) | fab GRUPO PANVEL           (esp. GRUPO PANVEL) | OUTRA CATEGORIA | COMP PANVEL COMPOSTO PVL 30UN
COM KATIGUA NTL                  | marca KATIGUA                (esp. KATIGUA) | fab GRUPO NATUBELL         (esp. GRUPO NATUBELL) | OUTRA CATEGORIA | COMP KATIGUA COMPOSTO NTL 30UN
COM FORTVIGOR                    | marca FORTVIGOR              (esp. FORTVIGOR) | fab LA SAN DAY             (esp. SCHILLIFE IND E COM LTDA) | OUTRA CATEGORIA | COMP FORTVIGOR COMPOSTO 30UN
COM ABBOTT                       | marca ABBOTT                 (esp. ABBOTT) | fab ABBOTT                 (esp. ABBOTT) | OUTRA CATEGORIA | COMP ABBOTT COMPOSTO 30UN
COM GEYER GEY                    | marca GEYER                  (esp. GEYER) | fab GEYER MEDICAMENTOS     (esp. GEYER MEDICAMENTOS) | OUTRA CATEGORIA | COMP GEYER COMPOSTO GEY 30UN
COM BIOSINTETICA                 | marca BIOSINTETICA           (esp. BIOSINTETICA) | fab ACHE LABORATORIOS FARMACEUTICOS SA (esp. ACHE LABORATORIOS FARMACEUTICOS SA) | OUTRA CATEGORIA | COMP BIOSINTETICA COMPOSTO 30UN
COM NUTRATA                      | marca NUTRATA                (esp. NUTRATA) | fab NUTRATA                (esp. NUTRATA) | OUTRA CATEGORIA | COMP NUTRATA COMPOSTO 30UN
COM JALAPA JAL                   | marca JALAPA                 (esp. JALAPA) | fab JALAPA                 (esp. JALAPA) | OUTRA CATEGORIA | COMP JALAPA COMPOSTO JAL 30UN
COM VHITA                        | marca VHITA                  (esp. VHITA) | fab VHITA DISTRIBUIDORA DE VITAMINAS LTDA (esp. VHITA DISTRIBUIDORA DE VITAMINAS LTDA) | OUTRA CATEGORIA | COMP VHITA COMPOSTO 30UN
COM ASPEN                        | marca ASPEN                  (esp. ASPEN) | fab ASPEN                  (esp. ASPEN) | OUTRA CATEGORIA | COMP ASPEN COMPOSTO 30UN
COM UNIAO QUIMICA                | marca OUTRA MARCA            (esp. UNIAO QUIMICA) | fab OUTRO FABRICANTE       (esp. UNIAO QUIMICA) | TUBO E CONEXAO | UNIAO QUIMICA COMPOSTO 30UN
GEN LANSO+CLARITR+AMOXICILINA CIF | marca LANSO                  (esp. AMOXICILINA) | fab CIFARMA                (esp. CIFARMA) | J01C1 PENICILINAS DE AMPLO ESPECTRO ORAIS | LANSO CLARITR AMOXICILINA 10MG 30CPRS
COM CALCIO MDK                   | marca OUTRA MARCA            (esp. CALCIO) | fab OUTRO FABRICANTE       (esp. A2F LABORATORIO) | A12A CALCIO | CALCIO MDK 10MG 30CPRS
COM BUKRU                        | marca BUKRU                  (esp. BUKRU) | fab OUTRO FABRICANTE       (esp. AROMA BEM ESTAR IND E COM DE PROD NATURAIS) | A09A DIGESTIVOS INCLUIDO ENZIMAS | BUKRU 10MG 30CPRS
COM ESSENTIAL NUTRITION          | marca ESSENTIAL NUTRITION    (esp. ESSENTIAL NUTRITION) | fab ESSENTIAL NUTRITION    (esp. ESSENTIAL NUTRITION) | OUTRA CATEGORIA | COMP ESSENTIAL NUTRITION COMPOSTO 30UN
COM VITAMINA D3 UNI              | marca VITAMINA D3            (esp. VITAMINA D3) | fab UNIAO QUIMICA          (esp. EMS PHARMA) | A11C2 VITAMINA D PURA | SUPL ALIM VITAMINA D3 10MG 30CPRS
COM BENNE                        | marca BENNE                  (esp. BENNE) | fab TECNOVIN               (esp. OUTRO FABRICANTE) | OUTRA CATEGORIA | COMP BENNE COMPOSTO 30UN
COM LAPON LAP                    | marca LAPON                  (esp. LAPON) | fab LAPON                  (esp. LAPON) | OUTRA CATEGORIA | COMP LAPON COMPOSTO LAP 30UN
COM EPAZIL                       | marca EPAZIL                 (esp. EPAZIL) | fab OUTRO FABRICANTE       (esp. LA SAN DAY) | A02X OUTROS PRODUTOS PARA DESORDENS DO ESTOMAGO | EPAZIL 10MG 30CPRS
COM ATIVDAY                      | marca ATIVDAY                (esp. ATIVDAY) | fab PAGUE MENOS            (esp. PAGUE MENOS) | OUTRA CATEGORIA | COMP ATIVDAY COMPOSTO 30UN
COM NUTRI WEALTH                 | marca NUTRI WEALTH           (esp. NUTRI WEALTH) | fab ATHENAS PHARMA         (esp. NUTRI WEALTH) | OUTRA CATEGORIA | COMP NUTRI WEALTH COMPOSTO 30UN
COM DAMATER OSTEO                | marca DAMATER                (esp. DAMATER OSTEO) | fab OUTRO FABRICANTE       (esp. SIN PROVEEDOR ASOCIADO) | A12A CALCIO | DAMATER OSTEO 10MG 30CPRS
COM QUALYNUTRI                   | marca QUALYNUTRI             (esp. QUALYNUTRI) | fab QUALYNUTRI             (esp. QUALYNUTRI) | OUTRA CATEGORIA | COMP QUALYNUTRI COMPOSTO 30UN
COM GOLD VITAM                   | marca GOLD VITAM             (esp. GOLD VITAM) | fab GOLD VITAM             (esp. GOLD VITAM) | OUTRA CATEGORIA | COMP GOLD VITAM COMPOSTO 30UN
COM GELATINA BNT                 | marca OUTRA MARCA            (esp. GELATINA) | fab OUTRO FABRICANTE       (esp. BIONATUS) | GELATINA | GELATINA COMPOSTO BNT 30UN
COM FLORAINTESTIN                | marca FLORAINTESTIN          (esp. FLORAINTESTIN) | fab OUTRO FABRICANTE       (esp. MASSIME) | A07F MICROORGANISMOS ANTIDIARREICOS | FLORAINTESTIN 10MG 30CPRS
COM PREVENT                      | marca PREVENT                (esp. PREVENT) | fab PREVENT PHARMA         (esp. PREVENT PHARMA) | OUTRA CATEGORIA | COMP PREVENT COMPOSTO 30UN
COM FORFIGC/20 EUR               | marca FORFIG                 (esp. FORFIGC/20) | fab EUROFARMA              (esp. EUROFARMA) | A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES | FORFIG 10MG 30CPRS
COM CENTROCAL 600+D3             | marca CENTROCAL 600+D3       (esp. CENTROCAL 600+D3) | fab KRESS                  (esp. KRESS FARMACEUTICA) | A12A CALCIO | CENTROCAL 600 D3 10MG 30CPRS
COM HEALTH LABS                  | marca OUTRA MARCA            (esp. HEALTH) | fab OUTRO FABRICANTE       (esp. HEALTH LABS) | OUTRA CATEGORIA | HEALTH COMPOSTO LABS 30UN
COM AIRELA                       | marca AIRELA                 (esp. AIRELA) | fab AIRELA PHARMACEUTICA   (esp. AIRELA PHARMACEUTICA) | OUTRA CATEGORIA | COMP AIRELA COMPOSTO 30UN
COM BIOROOTS BTS                 | marca BIOROOTS               (esp. BIOROOTS) | fab BIOROOTS               (esp. BIOROOTS) | OUTRA CATEGORIA | COMP BIOROOTS COMPOSTO BTS 30UN
COM D PRO                        | marca OUTRA MARCA            (esp. D) | fab OUTRO FABRICANTE       (esp. DIVINA PHARMA) | OUTRA CATEGORIA | COMP COMPOSTO PRO 30UN
COM AVERT AVR                    | marca AVERT                  (esp. AVERT) | fab AVERT                  (esp. AVERT) | OUTRA CATEGORIA | COMP AVERT COMPOSTO AVR 30UN
COM BABY ESSENCE                 | marca BABY ESSENCE           (esp. BABY ESSENCE) | fab ESSENZA NUTRICION      (esp. ESSENZA MEL) | A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS | BABY ESSENCE 10MG 30CPRS
COM TRUE SOURCE                  | marca TRUE SOURCE            (esp. TRUE SOURCE) | fab TRUE SOURCE            (esp. TRUE SOURCE) | OUTRA CATEGORIA | COMP TRUE SOURCE COMPOSTO 30UN
COM SHOOPNATU                    | marca SHOOPNATU              (esp. SHOOPNATU) | fab SHOOPNATU              (esp. SHOOPNATU) | OUTRA CATEGORIA | COMP SHOOPNATU COMPOSTO 30UN
COM BIOBALANCE BBL               | marca BIOBALANCE             (esp. BIOBALANCE) | fab BIOBALANCE             (esp. BIOBALANCE) | OUTRA CATEGORIA | COMP BIOBALANCE COMPOSTO BBL 30UN
COM LAXI VITA                    | marca VITA                   (esp. LAXI) | fab VITA                   (esp. UNIFABRA) | OUTRA CATEGORIA | LAXI VITA COMPOSTO 30UN
COM ZAN PHARMA FRH               | marca PHARMA                 (esp. ZAN PHARMA) | fab FORHEALTH NUTRICIONAL  (esp. FORHEALTH NUTRICIONAL) | A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES | PHARMA ZAN 10MG 30CPRS
COM SIMETICONA                   | marca SIMETICONA             (esp. SIMETICONA) | fab MEDLEY                 (esp. PAGUE MENOS) | A02A2 ANTIFISETICOS PUROS | SIMETICONA 10MG 30CPRS
COM TG                           | marca OUTRA MARCA            (esp. TG) | fab OUTRO FABRICANTE       (esp. INDUFAR) | OUTRA CATEGORIA | COMP COMPOSTO 30UN
COM GEOLAB                       | marca GEOLAB                 (esp. GEOLAB) | fab GEOLAB                 (esp. GEOLAB) | OUTRA CATEGORIA | COMP GEOLAB COMPOSTO 30UN
COM GERMINA                      | marca GERMINA                (esp. GERMINA) | fab GERMINA PRODUTOS NATURAIS (esp. METALAB) | A07F MICROORGANISMOS ANTIDIARREICOS | GERMINA 10MG 30CPRS
COM PROWIN PWN                   | marca PROWIN                 (esp. PROWIN) | fab PROWIN                 (esp. PROWIN) | OUTRA CATEGORIA | COMP PROWIN COMPOSTO PWN 30UN
COM EXTRA CALCIO MDK2            | marca OUTRA MARCA            (esp. EXTRA CALCIO) | fab OUTRO FABRICANTE       (esp. BIONATUS) | A12A CALCIO | CALCIO EXTRA 10MG 30CPRS
COM VELUS ASP                    | marca VELUS                  (esp. VELUS) | fab ASPEN                  (esp. APSEN) | A12A CALCIO | VELUS 10MG 30CPRS
COM EUROFITO EUF                 | marca EUROFITO               (esp. EUROFITO) | fab EUROFITO               (esp. EUROFITO) | OUTRA CATEGORIA | COMP EUROFITO COMPOSTO EUF 30UN
COM AMILAB                       | marca AMILAB                 (esp. AMILAB) | fab AMILAB                 (esp. AMILAB) | OUTRA CATEGORIA | COMP AMILAB COMPOSTO 30UN
COM PHARLAB                      | marca PHARLAB                (esp. PHARLAB) | fab PHARLAB                (esp. PHARLAB) | OUTRA CATEGORIA | COMP PHARLAB COMPOSTO 30UN
COM OCEAN DROP                   | marca OCEAN                  (esp. OCEAN) | fab OUTRO FABRICANTE       (esp. OCEAN DROP) | OUTRA CATEGORIA | COMP OCEAN COMPOSTO DROP 30UN
COM MASSIME RDF                  | marca MASSIME                (esp. MASSIME) | fab RAIA DROGASIL SA       (esp. RAIA DROGASIL SA) | OUTRA CATEGORIA | COMP MASSIME COMPOSTO RDF 30UN
COM AIRELA AIR                   | marca AIRELA                 (esp. AIRELA) | fab AIRELA PHARMACEUTICA   (esp. AIRELA PHARMACEUTICA) | OUTRA CATEGORIA | COMP AIRELA COMPOSTO AIR 30UN
COM VITALPROTEINS                | marca VITALPROTEINS          (esp. VITALPROTEINS) | fab OUTRO FABRICANTE       (esp. NESTLE CIA) | A12C2 OUTROS SUPLEMENTOS MINERAIS | VITALPROTEINS 10MG 30CPRS
COM SOLARIS                      | marca SOLARIS                (esp. SOLARIS) | fab SOLARIS PHARMA         (esp. SOLARIS PHARMA) | OUTRA CATEGORIA | COMP SOLARIS COMPOSTO 30UN
COM SUPERVITAN                   | marca SUPERVITAN             (esp. SUPERVITAN) | fab SUPERVITAN             (esp. SUPERVITAN) | OUTRA CATEGORIA | COMP SUPERVITAN COMPOSTO 30UN
COM SIMETICONA SNF               | marca SIMETICONA             (esp. SIMETICONA) | fab SANOFI FARMACEUTICA    (esp. SANOFI FARMACEUTICA LTDA) | A02A2 ANTIFISETICOS PUROS | SIMETICONA 10MG 30CPRS
COM SENE HERBARIUM HER           | marca OUTRA MARCA            (esp. SENE HERBARIUM) | fab HERBARIUM              (esp. HERBARIUM) | A06A2 LAXANTES ESTIMULANTES | SENE HER 10MG 30CPRS
COM GEOLAB GEO                   | marca GEOLAB                 (esp. GEOLAB) | fab GEOLAB                 (esp. GEOLAB) | OUTRA CATEGORIA | COMP GEOLAB COMPOSTO GEO 30UN
COM FIGON                        | marca FIGON                  (esp. FIGON) | fab AURAQUIMICA            (esp. AROMA BEM ESTAR IND E COM DE PROD NATURAIS) | A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES | FIGON 10MG 30CPRS
COM BIOLAB                       | marca BIOLAB                 (esp. BIOLAB) | fab BIOLAB                 (esp. BIOLAB) | OUTRA CATEGORIA | COMP BIOLAB COMPOSTO 30UN
COM CITROCAL                     | marca CITROCAL               (esp. CITROCAL) | fab CITROCAL ALIMENTOS     (esp. GOMES SUPLEMENTOS ALIMENTARES LTDA) | A12A CALCIO | CITROCAL 10MG 30CPRS
COM PROWIN                       | marca PROWIN                 (esp. PROWIN) | fab PROWIN                 (esp. PROWIN) | OUTRA CATEGORIA | COMP PROWIN COMPOSTO 30UN
COM NEOPURE                      | marca NEOPURE                (esp. NEOPURE) | fab NEOPURE                (esp. NEOPURE) | OUTRA CATEGORIA | COMP NEOPURE COMPOSTO 30UN
COM FITO                         | marca FITO                   (esp. FITO) | fab FITO ALIM.             (esp. FITO ESSENCIA) | OUTRA CATEGORIA | COMP FITO COMPOSTO 30UN
COM NEXTER INR                   | marca NEXTER                 (esp. NEXTER) | fab ASSIFARMA              (esp. INTERCRON) | A07G REPOSITORES ELECTROLITICOS ORAIS | NEXTER 10MG 30CPRS
COM DIMED DIM                    | marca DIMED                  (esp. DIMED) | fab DIMED                  (esp. DIMED) | OUTRA CATEGORIA | COMP DIMED COMPOSTO DIM 30UN
COM FORTLIFE                     | marca FORTLIFE               (esp. FORTLIFE) | fab FORTLIFE               (esp. FORTLIFE) | OUTRA CATEGORIA | COMP FORTLIFE COMPOSTO 30UN
COM FONT B12                     | marca FONT                   (esp. FONT) | fab FONTANA S.A.           (esp. BIONATUS) | A11F VITAMINAS B12 PURA | SUPL ALIM FONT 10MG 30CPRS
COM VITAFOR                      | marca VITAFOR                (esp. VITAFOR) | fab VITAFOR                (esp. VITAFOR) | OUTRA CATEGORIA | COMP VITAFOR COMPOSTO 30UN
COM CALCIOVITAL D3               | marca CALCIOVITAL            (esp. CALCIOVITAL) | fab OUTRO FABRICANTE       (esp. NATURELIFE) | VITAMINA OUTRO | SUPL ALIM CALCIOVITAL 10MG 30CPRS
COM VITA PREMIUM                 | marca VITA PREMIUM           (esp. VITA PREMIUM) | fab A2F LABORATORIO        (esp. A2F LABORATORIO) | OUTRA CATEGORIA | COMP VITA PREMIUM COMPOSTO 30UN
COM ELI LILLY ELI                | marca ELI LILLY              (esp. ELI LILLY) | fab ELI LILLY              (esp. ELI LILLY) | OUTRA CATEGORIA | COMP ELI LILLY COMPOSTO 30UN
COM SANTA RAIZ                   | marca OUTRA MARCA            (esp. SANTA) | fab OUTRO FABRICANTE       (esp. METALAB) | OUTRA CATEGORIA | SANTA COMPOSTO RAIZ 30UN
COM MAMBO                        | marca MAMBO                  (esp. MAMBO) | fab MAMBO                  (esp. MAMBO) | OUTRA CATEGORIA | COMP MAMBO COMPOSTO 30UN
COM SMART LIFE                   | marca LIFE                   (esp. SMART) | fab LATICINIOS BENVITA     (esp. SMART LIFE) | OUTRA CATEGORIA | SMART LIFE COMPOSTO 30UN
COM LINEA                        | marca LINEA                  (esp. LINEA) | fab LINEA ALIMENTOS        (esp. LINEA ALIMENTOS) | OUTRA CATEGORIA | COMP LINEA COMPOSTO 30UN
COM APISNUTRI APN                | marca APISNUTRI              (esp. APISNUTRI) | fab APISNUTRI              (esp. APISNUTRI) | OUTRA CATEGORIA | COMP APISNUTRI COMPOSTO APN 30UN
COM HIDRACT NEXTER INR           | marca HIDRACT NEXTER         (esp. HIDRACT NEXTER) | fab ASSIFARMA              (esp. INTERCRON) | A07G REPOSITORES ELECTROLITICOS ORAIS | HIDRACT NEXTER 10MG 30CPRS
COM ROCHA                        | marca ROCHA                  (esp. ROCHA) | fab ROCHA                  (esp. ROCHA) | OUTRA CATEGORIA | COMP ROCHA COMPOSTO 30UN
COM RILEX PLUS                   | marca RILEX                  (esp. RILEX) | fab RILEX PRESERVATIVOS    (esp. BIOVITAE) | OUTRA CATEGORIA | COMP RILEX COMPOSTO PLUS 30UN
COM NUTRI VITALEY                | marca NUTRI VITALEY          (esp. NUTRI VITALEY) | fab NUTRI VITALEY          (esp. NUTRI VITALEY) | OUTRA CATEGORIA | COMP NUTRI VITALEY COMPOSTO 30UN
COM IMEGOV NTV                   | marca IMEGOV                 (esp. IMEGOV) | fab NATIVITA FARMACEUTICA  (esp. NUTIVIT) | A11E1 COMPLEXO B PURO | IMEGOV 10MG 30CPRS
