barcode;descriptions
7899000000048;"{""ESOMEPRAZOL 10MG 30 COMP RAN""}"
7899000000049;"{""SIMETICONA 10MG 30 COMP MED""}"
7899000000050;"{""MUVINLAX 10MG 30 COMP LIB""}"
7899000000051;"{""ENGOV 10MG 30 COMP HYP""}"
7899000000052;"{""COLFLEX 10MG 30 COMP MAN""}"
7899000000053;"{""CLOR DE ONDANSETRONA 10MG 30 COMP BIO""}"
7899000000054;"{""GALVUS 10MG 30 COMP NOV""}"
7899000000055;"{""TRAYENTA 10MG 30 COMP BOE""}"
7899000000056;"{""ONDIF 10MG 30 COMP MAN""}"
7899000000057;"{""GLICLAZIDA 10MG 30 COMP PHA""}"
7899000000058;"{""PANTOPRAZOL 10MG 30 COMP MED""}"
7899000000059;"{""DIGEPLUS 10MG 30 COMP ACH""}"
7899000000060;"{""FLORAX 10MG 30 COMP HEB""}"
7899000000061;"{""MAGNESIA BISURADA 10MG 30 COMP ASP""}"
7899000000062;"{""EXTENSIOR 10MG 30 COMP NND""}"
7899000000063;"{""SUGANON 10MG 30 COMP EUR""}"
7899000000064;"{""FIASP 10MG 30 COMP NND""}"
7899000000065;"{""COLIDIS 10MG 30 COMP ACH""}"
7899000000066;"{""MOBILITY OSCAL D (OPE) 10MG 30 COMP ""}"
7899000000067;"{""ESIO 10MG 30 COMP EUR""}"
7899000000068;"{""PANTOPRAZOL 10MG 30 COMP CIM""}"
7899000000069;"{""LUFTAGASTROPRO 10MG 30 COMP RB""}"
7899000000070;"{""SIMETICONA 10MG 30 COMP CIM""}"
7899000000071;"{""ESOMEPRAZOL 10MG 30 COMP MED""}"
7899000000072;"{""PANTOPRAZOL 10MG 30 COMP EMS""}"
7899000000073;"{""DAPAGLIFLOZINA 10MG 30 COMP AZN""}"
7899000000074;"{""ESTOMAZIL 10MG 30 COMP HYP""}"
7899000000075;"{""GLICLAZIDA 10MG 30 COMP EMS""}"
7899000000076;"{""OMEPRAZOL 10MG 30 COMP TEU""}"
7899000000077;"{""MOBILITY OSCAL (OPE) 10MG 30 COMP ""}"
7899000000078;"{""LACTOSIL 10MG 30 COMP APS""}"
7899000000079;"{""GRANADO 10MG 30 COMP CSG""}"
7899000000080;"{""MESACOL 10MG 30 COMP TKD""}"
7899000000081;"{""ENGOV AFTER 10MG 30 COMP HYP""}"
7899000000082;"{""MINILAX 10MG 30 COMP EUR""}"
7899000000083;"{""PANTOPRAZOL 10MG 30 COMP ACH""}"
7899000000084;"{""LACDAY 10MG 30 COMP EMS""}"
7899000000085;"{""ESOMEX 10MG 30 COMP EMS""}"
7899000000086;"{""DIVENA 10MG 30 COMP ACH""}"
7899000000087;"{""MYLANTA 10MG 30 COMP KEN""}"
7899000000088;"{""COLACT 10MG 30 COMP UNI""}"
7899000000089;"{""NEO B 10MG 30 COMP EUR""}"
7899000000090;"{""20 BI 10MG 30 COMP MOM""}"
7899000000091;"{""GASTROL 10MG 30 COMP HYP""}"
7899000000092;"{""BIFILAC 10MG 30 COMP MAN""}"
7899000000093;"{""EPAREMA 10MG 30 COMP HYP""}"
7899000000094;"{""JANUMET 10MG 30 COMP MER""}"
7899000000095;"{""LINADIB 10MG 30 COMP EMS""}"
7899000000096;"{""TIORFAN 10MG 30 COMP BAG""}"
7899000000097;"{""COMPLEXO A 10MG 30 COMP ALM""}"
7899000000098;"{""MECLIN 10MG 30 COMP APS""}"
7899000000099;"{""NEOCOPAN COMPOSTO 10MG 30 COMP UNI""}"
7899000000100;"{""NEXIUM 10MG 30 COMP AZN""}"
7899000000101;"{""IMOSEC 10MG 30 COMP CEL""}"
7899000000102;"{""OMEPRAZOL 10MG 30 COMP CIM""}"
7899000000103;"{""XIFAXAN 10MG 30 COMP BIO""}"
7899000000104;"{""SILIMALON 10MG 30 COMP ZYD""}"
7899000000105;"{""ORLISTATE 10MG 30 COMP PRD""}"
7899000000106;"{""NATURETTI 10MG 30 COMP HYP""}"
7899000000107;"{""PROLIVE 10MG 30 COMP ACH""}"
7899000000108;"{""PICOPREP 10MG 30 COMP FER""}"
7899000000109;"{""AZUKON MR 10MG 30 COMP TOR""}"
7899000000110;"{""NEOGERMINA 10MG 30 COMP NEO""}"
7899000000111;"{""DOMPERIDONA 10MG 30 COMP EUR""}"
7899000000112;"{""DOMPERIDONA 10MG 30 COMP EMS""}"
7899000000113;"{""PROBID 10MG 30 COMP APS""}"
7899000000114;"{""CREON 10MG 30 COMP ABB""}"
7899000000115;"{""QTERN 10MG 30 COMP AZN""}"
7899000000116;"{""SONRIDOR 10MG 30 COMP GSK""}"
7899000000117;"{""DEFB 10MG 30 COMP BIO""}"
7899000000118;"{""LEITE MAG PHILLIPS 10MG 30 COMP ASP""}"
7899000000119;"{""MYRALIS 10MG 30 COMP MYR""}"
7899000000120;"{""DULCOLAX (OPE) 10MG 30 COMP ""}"
7899000000121;"{""NOVOLIN N 10MG 30 COMP NND""}"
7899000000122;"{""OGESTAN 10MG 30 COMP BES""}"
7899000000123;"{""MERITOR 10MG 30 COMP ACH""}"
7899000000124;"{""GLARGILIN 10MG 30 COMP BBF""}"
7899000000125;"{""PANTOPRAZOL 10MG 30 COMP EUR""}"
7899000000126;"{""URSACOL 10MG 30 COMP ZAM""}"
7899000000127;"{""BARISTAR 10MG 30 COMP CEL""}"
7899000000128;"{""FLORASTOR 10MG 30 COMP UNI""}"
7899000000129;"{""NOVORAPID 10MG 30 COMP NND""}"
7899000000130;"{""PROBIATOP 10MG 30 COMP FRQ""}"
7899000000131;"{""PEG LAX 10MG 30 COMP MYR""}"
7899000000132;"{""TROPINAL 10MG 30 COMP EMS""}"
7899000000133;"{""FORFIG 10MG 30 COMP MOM""}"
7899000000134;"{""FAMOX 10MG 30 COMP ACH""}"
7899000000135;"{""HUMALOG 10MG 30 COMP ELI""}"
7899000000136;"{""CLOR DE ONDANSETRONA 10MG 30 COMP UNI""}"
7899000000137;"{""ZEROLAC 10MG 30 COMP UNI""}"
7899000000138;"{""OMCILON 10MG 30 COMP ASP""}"
7899000000139;"{""COLIC CALM 10MG 30 COMP MRJ""}"
7899000000140;"{""HIDRAPLEX 10MG 30 COMP NAT""}"
7899000000141;"{""PROVANCE 10MG 30 COMP ACH""}"
7899000000142;"{""TRULICITY 10MG 30 COMP ELI""}"
7899000000143;"{""RAPILAX 10MG 30 COMP KLE""}"
7899000000144;"{""CULTURELLE 10MG 30 COMP CEL""}"
7899000000145;"{""CAMOMILINA 10MG 30 COMP THE""}"
7899000000146;"{""GLICLAZIDA 10MG 30 COMP RAN""}"
7899000000147;"{""STOMALIV 10MG 30 COMP GEO""}"
7899000000148;"{""THIOCTACID 10MG 30 COMP VIA""}"
7899000000149;"{""BIOVICERIN 10MG 30 COMP GEY""}"
7899000000150;"{""PHOSFOENEMA 10MG 30 COMP SPR""}"
7899000000151;"{""BUSCODUO 10MG 30 COMP HYP""}"
7899000000152;"{""ORLISTATE 10MG 30 COMP NEO""}"
7899000000153;"{""FLORATIL 10MG 30 COMP NAT""}"
7899000000154;"{""AVIDE 10MG 30 COMP ACH""}"
7899000000155;"{""LONIUM 10MG 30 COMP APS""}"
7899000000156;"{""JANUVIA 10MG 30 COMP MER""}"
7899000000157;"{""FLORIPA 10MG 30 COMP EUR""}"
7899000000158;"{""MAGNESIA BISURADA 10MG 30 COMP PFI""}"
7899000000159;"{""NEVRIX 10MG 30 COMP ARE""}"
7899000000160;"{""LACTO PURGA 10MG 30 COMP HYP""}"
7899000000161;"{""OLIRE 10MG 30 COMP EMS""}"
7899000000162;"{""ORLISTATE 10MG 30 COMP GER""}"
7899000000163;"{""FIGATIL 10MG 30 COMP CAT""}"
7899000000164;"{""OLINA 10MG 30 COMP CEN""}"
7899000000165;"{""PYLORIPAC 10MG 30 COMP MED""}"
7899000000166;"{""GAESO 10MG 30 COMP ACH""}"
7899000000167;"{""NIMEGON MET 10MG 30 COMP SPR""}"
7899000000168;"{""RESTITUE 10MG 30 COMP EMS""}"
7899000000169;"{""CARVEROL 10MG 30 COMP UNI""}"
7899000000170;"{""MESALAZINA 10MG 30 COMP NEO""}"
7899000000171;"{""ATIVB 10MG 30 COMP BIO""}"
7899000000172;"{""MILGAMMA 10MG 30 COMP MAN""}"
7899000000173;"{""SITGLU MET 10MG 30 COMP GER""}"
7899000000174;"{""LACTULIV 10MG 30 COMP LEG""}"
7899000000175;"{""BROMOPRIDA 10MG 30 COMP MED""}"
7899000000176;"{""PROBIANS 10MG 30 COMP APS""}"
7899000000177;"{""RUBENTI 10MG 30 COMP ABB""}"
7899000000178;"{""HIDRALYTE 10MG 30 COMP NAT""}"
7899000000179;"{""VOLIG 10MG 30 COMP LEG""}"
7899000000180;"{""BWELL 10MG 30 COMP RDF""}"
7899000000181;"{""Por Defecto 10MG 30 COMP ""}"
7899000000182;"{""SIMBIOFLORA 10MG 30 COMP FRQ""}"
7899000000183;"{""METAMUCIL P&G 10MG 30 COMP ""}"
7899000000184;"{""FORFIG 10MG 30 COMP EUR""}"
7899000000185;"{""GASTROGEL 10MG 30 COMP MDQ""}"
7899000000186;"{""MAGNAZIA 10MG 30 COMP CIM""}"
7899000000187;"{""BROMOPRIDA 10MG 30 COMP EMS""}"
7899000000188;"{""LIPIBLOCK 10MG 30 COMP GER""}"
7899000000189;"{""VICTOZA 10MG 30 COMP NND""}"
7899000000190;"{""ACIDO URSODESOXICOLICO 10MG 30 COMP RAN""}"
7899000000191;"{""BIOMAG 10MG 30 COMP ACH""}"
7899000000192;"{""PLASIL 10MG 30 COMP SNF""}"
7899000000193;"{""GLUNAC 10MG 30 COMP GER""}"
7899000000194;"{""CLOR DE METFORMINA 10MG 30 COMP TEU""}"
7899000000195;"{""BISALAX 10MG 30 COMP UNI""}"
7899000000196;"{""RESOLOR 10MG 30 COMP KEN""}"
7899000000197;"{""ACETONIDA DE TRIANCINOLONA 10MG 30 COMP EMS""}"
7899000000198;"{""ADIPEPT 10MG 30 COMP ACH""}"
7899000000199;"{""HEPATILON 10MG 30 COMP KLE""}"
7899000000200;"{""DUPHALAC 10MG 30 COMP ABB""}"
7899000000201;"{""PEDIALYTE 10MG 30 COMP ABB""}"
7899000000202;"{""GAZIA 10MG 30 COMP MOM""}"
7899000000203;"{""OMEPRAZOL 10MG 30 COMP MED""}"
7899000000204;"{""BENERVA 10MG 30 COMP CEL""}"
7899000000205;"{""MESALAZINA 10MG 30 COMP EMS""}"
7899000000206;"{""SIMETICONA 10MG 30 COMP BIO""}"
7899000000207;"{""VILDAGLIPTINA CLOR DE METFORMINA 10MG 30 COMP ALT""}"
7899000000208;"{""CLOR DE ONDANSETRONA 10MG 30 COMP GER""}"
7899000000209;"{""PEPSAMAR 10MG 30 COMP HYP""}"
7899000000210;"{""TOUJEO 10MG 30 COMP SNF""}"
7899000000211;"{""PANTOPRAZOL 10MG 30 COMP MDQ""}"
7899000000212;"{""OMEPRAZOL 10MG 30 COMP NVQ""}"
7899000000213;"{""HIDROXIDO DE ALUMINIO 10MG 30 COMP EMS""}"
7899000000214;"{""OMEPRAZOL 10MG 30 COMP GLO""}"
7899000000215;"{""AZULFIN 10MG 30 COMP APS""}"
7899000000216;"{""CAMILIA 10MG 30 COMP BRN""}"
7899000000217;"{""MALEATO DE TRIMEBUTINA 10MG 30 COMP EUR""}"
7899000000218;"{""GLICLAZIDA 10MG 30 COMP LEG""}"
7899000000219;"{""LEITE DE MAGNESIA 10MG 30 COMP GSK""}"
7899000000220;"{""CLOR DE ONDANSETRONA 10MG 30 COMP EMS""}"
7899000000221;"{""FLORENT 10MG 30 COMP CIF""}"
7899000000222;"{""MULTI BI 10MG 30 COMP SPR""}"
7899000000223;"{""CALDE KM 10MG 30 COMP MAR""}"
7899000000224;"{""DIGELIV 10MG 30 COMP APS""}"
7899000000225;"{""DUSPATALIN 10MG 30 COMP ABB""}"
7899000000226;"{""CLOR DE ONDANSETRONA 10MG 30 COMP MED""}"
7899000000227;"{""COLICALIV 10MG 30 COMP HER""}"
7899000000228;"{""AD TIL 10MG 30 COMP HYP""}"
7899000000229;"{""20 BI 10MG 30 COMP EUR""}"
7899000000230;"{""SIMETICONA 10MG 30 COMP ACH""}"
7899000000231;"{""LACTULONA 10MG 30 COMP DAI""}"
7899000000232;"{""FLY 10MG 30 COMP BIO""}"
7899000000233;"{""NENE DENT N 10MG 30 COMP HYP""}"
7899000000234;"{""GESTAMAX 10MG 30 COMP MAN""}"
7899000000235;"{""NOVOLIN R 10MG 30 COMP NND""}"
7899000000236;"{""GLINK MET 10MG 30 COMP LIB""}"
7899000000237;"{""GLICLAZIDA 10MG 30 COMP TOR""}"
7899000000238;"{""STEATON 10MG 30 COMP ACH""}"
7899000000239;"{""OLEOMINERAL 10MG 30 COMP UNI""}"
7899000000240;"{""PLANTABEN 10MG 30 COMP VIA""}"
7899000000241;"{""LISTO 10MG 30 COMP BIO""}"
7899000000242;"{""JANUVIA 10MG 30 COMP MSD""}"
7899000000243;"{""LOSEC 10MG 30 COMP AZN""}"
7899000000244;"{""GLIMEPIRIDA 10MG 30 COMP CIM""}"
7899000000245;"{""APIDRA 10MG 30 COMP SNF""}"
7899000000246;"{""TRIMEBUTINA 10MG 30 COMP ALT""}"
7899000000247;"{""GRIF 10MG 30 COMP EUR""}"
7899000000248;"{""CLOR DE LOPERAMIDA 10MG 30 COMP SDZ""}"
7899000000249;"{""ESOP 10MG 30 COMP MUL""}"
7899000000250;"{""DOMPERIDONA 10MG 30 COMP CIM""}"
7899000000251;"{""HUMULIN 10MG 30 COMP ELI""}"
7899000000252;"{""RABEPRAZOL 10MG 30 COMP SDZ""}"
7899000000253;"{""REHIDRAT 10MG 30 COMP EUR""}"
7899000000254;"{""SIMETICONA 10MG 30 COMP UNI""}"
7899000000255;"{""FLORATIL 10MG 30 COMP DVC""}"
7899000000256;"{""SIMETICONA 10MG 30 COMP EMS""}"
7899000000257;"{""UMBI 10MG 30 COMP MOM""}"
7899000000258;"{""ESOL 10MG 30 COMP MAN""}"
7899000000259;"{""JANSSEN 10MG 30 COMP KEN""}"
7899000000260;"{""CLOR DE ONDANSETRONA 10MG 30 COMP PHA""}"
7899000000261;"{""BETRAT 10MG 30 COMP MYR""}"
7899000000262;"{""SOBRAL 10MG 30 COMP SOB""}"
7899000000263;"{""OMEPRAZOL 10MG 30 COMP UNI""}"
7899000000264;"{""IMOLAC 10MG 30 COMP CIF""}"
7899000000265;"{""ESPASMOPAN COMPOSTO 10MG 30 COMP UNI""}"
7899000000266;"{""PEDIALYTE MAX 10MG 30 COMP ABB""}"
7899000000267;"{""NISTATINA 10MG 30 COMP TEU""}"
7899000000268;"{""PANTOPRAZOL 10MG 30 COMP GER""}"
7899000000269;"{""MOTILIUM 10MG 30 COMP CEL""}"
7899000000270;"{""SIBUS 10MG 30 COMP EUR""}"
7899000000271;"{""GLIBENCLAMIDA 10MG 30 COMP NEO""}"
7899000000272;"{""HIDRALI 10MG 30 COMP AIR""}"
7899000000273;"{""PERLATTE 10MG 30 COMP EUR""}"
7899000000274;"{""MESALAZINA 10MG 30 COMP GER""}"
7899000000275;"{""DAPAGLIFLOZINA 10MG 30 COMP GER""}"
7899000000276;"{""LANSOPRAZOL 10MG 30 COMP EMS""}"
7899000000277;"{""SIMFORT 10MG 30 COMP VTF""}"
7899000000278;"{""AD MUC 10MG 30 COMP BIO""}"
7899000000279;"{""ESOMEPRAZOL 10MG 30 COMP CIM""}"
7899000000280;"{""CLORIDRATO DE ONDANSETRONA 10MG 30 COMP NVQ""}"
7899000000281;"{""LEGALON 10MG 30 COMP VIA""}"
7899000000282;"{""ESOMEPRAZOL 10MG 30 COMP GER""}"
7899000000283;"{""TRIANCINOLONA DE ACETONIDA 10MG 30 COMP EUR""}"
7899000000284;"{""ESOMEPRAZOL 10MG 30 COMP NVQ""}"
7899000000285;"{""TRIMEB 10MG 30 COMP EUR""}"
7899000000286;"{""NISTATINA 10MG 30 COMP EMS""}"
7899000000287;"{""IRRITRATIL 10MG 30 COMP ACH""}"
7899000000288;"{""LEIBA 10MG 30 COMP UNI""}"
7899000000289;"{""PERIDAL 10MG 30 COMP MAN""}"
7899000000290;"{""NOVOPRAZOL 10MG 30 COMP GLO""}"
7899000000291;"{""CLOR DE PIOGLITAZONA 10MG 30 COMP GER""}"
7899000000292;"{""CLOR DE SIBUTRAMINA 10MG 30 COMP EUR""}"
7899000000293;"{""BROMOPRIDA 10MG 30 COMP TEU""}"
7899000000294;"{""OMEPRAZOL 10MG 30 COMP GEO""}"
7899000000295;"{""FIGMED 10MG 30 COMP CIM""}"
7899000000296;"{""PYLORITRAT 10MG 30 COMP TEU""}"
7899000000297;"{""BELSPAN 10MG 30 COMP BEL""}"
7899000000298;"{""SIILIF 10MG 30 COMP TKD""}"
7899000000299;"{""ONDSET 10MG 30 COMP UNI""}"
7899000000300;"{""OMEPRAMIX 10MG 30 COMP ACH""}"
7899000000301;"{""LUFBEM 10MG 30 COMP NAT""}"
7899000000302;"{""PEPSOGEL 10MG 30 COMP LEG""}"
7899000000303;"{""ENAVO 10MG 30 COMP EMS""}"
7899000000304;"{""RESSALIV 10MG 30 COMP CIM""}"
7899000000305;"{""BROMOPRIDA 10MG 30 COMP PRD""}"
7899000000306;"{""PIOTAZ 10MG 30 COMP BRA""}"
7899000000307;"{""FLAGASS 10MG 30 COMP ACH""}"
7899000000308;"{""HEPA MERZ 10MG 30 COMP BIO""}"
7899000000309;"{""MIRADOR 10MG 30 COMP NEO""}"
7899000000310;"{""NISTATINA 10MG 30 COMP PRD""}"
7899000000311;"{""FIBERNORM 10MG 30 COMP TKD""}"
7899000000312;"{""LANSOPRAZOL CLARITROMICINA AMOXICILINA 10MG 30 COMP TEU""}"
7899000000313;"{""SIMETICONA 10MG 30 COMP NEO""}"
7899000000314;"{""SIMECO PLUS 10MG 30 COMP EUR""}"
7899000000315;"{""SIMETICONA 10MG 30 COMP TEU""}"
7899000000316;"{""CIMETIDINA 10MG 30 COMP TEU""}"
7899000000317;"{""CLOR DE PIOGLITAZONA 10MG 30 COMP EMS""}"
7899000000318;"{""SEMAVY 10MG 30 COMP HYP""}"
7899000000319;"{""FLATULON 10MG 30 COMP ASS""}"
7899000000320;"{""BENESTARE 10MG 30 COMP MED""}"
7899000000321;"{""COCYNTAL 10MG 30 COMP BRN""}"
7899000000322;"{""LANSOPRAZOL 10MG 30 COMP LEG""}"
7899000000323;"{""OMEPRAZOL 10MG 30 COMP EMS""}"
7899000000324;"{""OMOPREL 10MG 30 COMP BEL""}"
7899000000325;"{""HERBARIUM 10MG 30 COMP HER""}"
7899000000326;"{""GASTROBION 10MG 30 COMP KLE""}"
7899000000327;"{""CLOR DE LOPERAMIDA 10MG 30 COMP GLO""}"
7899000000328;"{""URBY 10MG 30 COMP ""}"
7899000000329;"{""PANTOPRAZOL 10MG 30 COMP NEO""}"
7899000000330;"{""CARDOMARIN 10MG 30 COMP NAT""}"
7899000000331;"{""FLOMICIN 10MG 30 COMP NEO""}"
7899000000332;"{""BUSCOPLEX 10MG 30 COMP NAT""}"
7899000000333;"{""UNIPRAZOL 10MG 30 COMP UNI""}"
7899000000334;"{""MESALAZINA 10MG 30 COMP RAN""}"
7899000000335;"{""CITOBE 10MG 30 COMP EUR""}"
7899000000336;"{""DRAMAVIT 10MG 30 COMP NEO""}"
7899000000337;"{""CLAZI XR 10MG 30 COMP GER""}"
7899000000338;"{""PANTOPRAZOL 10MG 30 COMP PRD""}"
7899000000339;"{""PROVANCE IMUNE 10MG 30 COMP ACH""}"
7899000000340;"{""GLIVANCE XR 10MG 30 COMP MER""}"
7899000000341;"{""FIBER MAIS 10MG 30 COMP NES""}"
7899000000342;"{""DOMPERIDONA 10MG 30 COMP MED""}"
7899000000343;"{""KAOSEC 10MG 30 COMP PHC""}"
7899000000344;"{""TECTA 10MG 30 COMP TKD""}"
7899000000345;"{""NEEDS 10MG 30 COMP RDF""}"
7899000000346;"{""DOBLE 10MG 30 COMP BIO""}"
7899000000347;"{""FOSF DE SITAGLIPTINA 10MG 30 COMP RAN""}"
7899000000348;"{""PANTOZOL 10MG 30 COMP TKD""}"
7899000000349;"{""JANSSEN 10MG 30 COMP JNS""}"
7899000000350;"{""DOMPERIX 10MG 30 COMP EUR""}"
7899000000351;"{""DIGEDRAT 10MG 30 COMP MAN""}"
7899000000352;"{""DORDENTE 10MG 30 COMP HEA""}"
7899000000353;"{""PURAVIDA 10MG 30 COMP ""}"
7899000000354;"{""SILIMARINA 10MG 30 COMP FRT""}"
7899000000355;"{""INTOLIV 10MG 30 COMP ARE""}"
7899000000356;"{""NIMEGON 10MG 30 COMP SPR""}"
7899000000357;"{""NEOCOPAN 10MG 30 COMP UNI""}"
7899000000358;"{""LEVTY 10MG 30 COMP ACH""}"
7899000000359;"{""NAUTEX 10MG 30 COMP ACH""}"
7899000000360;"{""VILDAGLIPTINA 10MG 30 COMP ALT""}"
7899000000361;"{""GUTTALAX (OPE) 10MG 30 COMP ""}"
7899000000362;"{""LIRUX 10MG 30 COMP EMS""}"
7899000000363;"{""DIGESAN 10MG 30 COMP SNF""}"
7899000000364;"{""DOMPERIDONA 10MG 30 COMP NEO""}"
7899000000365;"{""GLIMEPIRIDA 10MG 30 COMP EUR""}"
7899000000366;"{""GLICAZIDA 10MG 30 COMP PHA""}"
7899000000367;"{""AGLITIL 10MG 30 COMP SGM""}"
7899000000368;"{""AFTLIV 10MG 30 COMP NAT""}"
7899000000369;"{""ACETONIDA DE TRIANCINOLONA 10MG 30 COMP GER""}"
7899000000370;"{""ENAX 10MG 30 COMP ARE""}"
7899000000371;"{""LACASS 10MG 30 COMP ARE""}"
7899000000372;"{""PRETEN 10MG 30 COMP ACH""}"
7899000000373;"{""TRIANCINOLONA ACETONIDA 10MG 30 COMP PRD""}"
7899000000374;"{""CAMOMILA 10MG 30 COMP CAT""}"
7899000000375;"{""PRECOL 10MG 30 COMP ARE""}"
7899000000376;"{""MAGMAX 10MG 30 COMP NAT""}"
7899000000377;"{""PANTOCAL 10MG 30 COMP EUR""}"
7899000000378;"{""ATROVERAN 10MG 30 COMP HYP""}"
7899000000379;"{""SOLIQUA 10MG 30 COMP SNF""}"
7899000000380;"{""PLABEL 10MG 30 COMP BEL""}"
7899000000381;"{""SIMETICONA 10MG 30 COMP AIR""}"
7899000000382;"{""ANDREWS 10MG 30 COMP HAL""}"
7899000000383;"{""PRAZY 10MG 30 COMP LEG""}"
7899000000384;"{""REHIDRALIN 10MG 30 COMP MAX""}"
7899000000385;"{""DIGESTINA 10MG 30 COMP UNI""}"
7899000000386;"{""PILULAS DE ERVA DE BICHO COMPOSTAS IMESCARD 10MG 30 COMP OSO""}"
7899000000387;"{""GLICLAZIDA 10MG 30 COMP NEO""}"
7899000000388;"{""PENTASA 10MG 30 COMP FER""}"
7899000000389;"{""BE BETTER 10MG 30 COMP ""}"
7899000000390;"{""PIOTAZ 10MG 30 COMP GER""}"
7899000000391;"{""NOVALGINA (OPE) 10MG 30 COMP ""}"
7899000000392;"{""OSSOTRAT 10MG 30 COMP CEL""}"
7899000000393;"{""ONCILEG 10MG 30 COMP LEG""}"
7899000000394;"{""NAUSICALM 10MG 30 COMP UNI""}"
7899000000395;"{""BEMOVE 10MG 30 COMP MOM""}"
7899000000396;"{""BROMOPRIDA 10MG 30 COMP GER""}"
7899000000397;"{""CLOR DE PIOGLITAZONA 10MG 30 COMP TEU""}"
7899000000398;"{""CARVEDILOL 10MG 30 COMP ZYD""}"
7899000000399;"{""DOMPERIDONA 10MG 30 COMP GER""}"
7899000000400;"{""SITAGLIPTINA 10MG 30 COMP SDZ""}"
7899000000401;"{""DULCOLAX 10MG 30 COMP SNF""}"
7899000000402;"{""SENSILATTE 10MG 30 COMP PRD""}"
7899000000403;"{""MAGMILK 10MG 30 COMP AIR""}"
7899000000404;"{""DIATARCOM MR 10MG 30 COMP SER""}"
7899000000405;"{""FRUTAXX 10MG 30 COMP UNI""}"
7899000000406;"{""GLICAZIDA 10MG 30 COMP TOR""}"
7899000000407;"{""ENTEROFIGON 10MG 30 COMP KLE""}"
7899000000408;"{""PIOGLITAZONA 10MG 30 COMP GLO""}"
7899000000409;"{""LACTUGOLD 10MG 30 COMP ""}"
7899000000410;"{""CLOR DE ONDANSETRONA 10MG 30 COMP NEO""}"
7899000000411;"{""DIMETIGASS 10MG 30 COMP CIM""}"
7899000000412;"{""ONGLYZA 10MG 30 COMP AZN""}"
7899000000413;"{""OMENAX 10MG 30 COMP GEO""}"
7899000000414;"{""SIMETICONA 10MG 30 COMP GLO""}"
7899000000415;"{""DOZI 10MG 30 COMP EUR""}"
7899000000416;"{""LINAGLIPTINA 10MG 30 COMP NEO""}"
