+ DIAMOX 250MG 30CPR UNIA %DN:0.00           | SISTEMICOS                         | DIAMOX         | UNIAO QUIMICA    | 30UN | DIAMOX UNIA DN 250MG 30CPRS
SUPREMA C/28 CPR REV 2+1MG                   | G03F ASSOCIACOES DE ESTROGENOS E P | SUPREMA        | SOBEL            | 28UN | SUPREMA REVESTIDO 2+1MG 28CPRS
SYSTEN CONTI C/8 ADES 50+170MCG/DIA          | G03F ASSOCIACOES DE ESTROGENOS E P | SYSTEN         | KENVUE           | 8UN | SYSTEN CONTI ADES 50+170MCG/DIA 8UN
SYSTEN SEQUI C/8 ADES 50+50+170MCG/DIA       | G03F ASSOCIACOES DE ESTROGENOS E P | SYSTEN         | KENVUE           | 8UN | SYSTEN SEQUI ADES 50+50+170MCG/DIA 8UN
TEUTOVIT EC/30 CAPS 400MG                    | VITAMINA OUTRO                     | OUTRA MARCA    | OUTRO FABRICANTE | 30UN | SUPL ALIM TEUTOVIT 400MG 30CAPS
VERZENIOS C/30 CPR REV 50MG                  | L01H1 ANTINEOPLASICOS INIBIDORES D | VERZENIOS      | ELI LILLY        | 30UN | VERZENIOS REVESTIDO 50MG 30CPRS
VITA E 400 UI 30 CAPS                        | VITAMINA OUTRO                     | VITA E         | OUTRO FABRICANTE | 30UN | SUPL ALIM VITA E 400UI 30CAPS
VITA E ACHE C/30 CAPS 400MG                  | VITAMINA OUTRO                     | VITA E         | ACHE LABORATORIO | 30UN | SUPL ALIM VITA E 400MG 30CAPS
VITA-E 400MG C/30CPR                         | VITAMINA OUTRO                     | VITA E         | OUTRO FABRICANTE | 30UN | SUPL ALIM VITA E 400MG 30CPRS
VITAMINA E NATULAB 400MG 30CPR               | VITAMINA OUTRO                     | VITAMINA E     | NATULAB          | 30UN | SUPL ALIM VITAMINA E 400MG 30CPRS
ZOVIRAX C/25 CPR 200MG                       | J05B3 ANTIVIRAL PARA HERPES        | ZOVIRAX        | GSK              | 25UN | ZOVIRAX 200MG 25CPRS
FLORINEFE C/100 CPR 0,1MG                    | H02A CORTICOSTEROIDES PUROS        | FLORINEFE      | ASPEN            | 100UN | FLORINEFE 0.1MG 100CPRS
LECTRUM 1,5ML PO LIOF+SOL DIL 3,75MG         | L02A HORMONIOS CITOSTATICOS        | LECTRUM        | SANDOZ           | 1.5ML | LECTRUM LIOFILIZADO SOLUCAO 3.75MG 1.5ML
ZOLADEX DEPOT 3,6MG INJ                      | L02A HORMONIOS CITOSTATICOS        | ZOLADEX        | ASTRAZENECA      | 1UN | ZOLADEX DEPOT INJETAVEL 3.6MG 1UN
DIPIRONA 500MG 10 COMPRIMIDOS                | N02B NAO NARCOTICOS ANTIPIRETICOS  | DIPIRONA       | OUTRO FABRICANTE | 10UN | DIPIRONA 500MG 10CPRS
DIPIRONA 1G C/10 CPR                         | N02B NAO NARCOTICOS ANTIPIRETICOS  | DIPIRONA       | OUTRO FABRICANTE | 10G | DIPIRONA COMPRIMIDO 10X1G
DIPIRONA GTS 20ML                            | N02B NAO NARCOTICOS ANTIPIRETICOS  | DIPIRONA       | OUTRO FABRICANTE | 20ML | DIPIRONA GOTAS 20ML
DORFLEX 36 CPR                               | ASSOCIADOS                         | DORFLEX        | OPELLA           | 36UN | DORFLEX 36CPRS
DORFLEX CX 50 ENV 4 CPR                      | ASSOCIADOS                         | DORFLEX        | OPELLA           | 50UN | DORFLEX 50CPRS
TYLENOL 750MG BL 20 CP                       | N02B NAO NARCOTICOS ANTIPIRETICOS  | TYLENOL        | KENVUE           | 20UN | TYLENOL 750MG 20CPRS
OMEPRAZOL 20MG 28CAP                         | A02B2 INIBIDORES DA BOMBA DE PROTO | OMEPRAZOL      | OUTRO FABRICANTE | 28UN | OMEPRAZOL 20MG 28CAPS
OMEPRAZOL 20MG CX 28 CAPS DURAS              | A02B2 INIBIDORES DA BOMBA DE PROTO | OMEPRAZOL      | OUTRO FABRICANTE | 28UN | OMEPRAZOL DURAS 20MG 28CAPS
AMOXICILINA 500MG 21 CAPSULAS                | J01C1 PENICILINAS DE AMPLO ESPECTR | AMOXICILINA    | OUTRO FABRICANTE | 21UN | AMOXICILINA 500MG 21CAPS
AMOXICILINA 250MG/5ML PO SUSP 150ML          | J01C1 PENICILINAS DE AMPLO ESPECTR | AMOXICILINA    | OUTRO FABRICANTE | 150ML | AMOXICILINA SUSPENSAO 250MG/5ML 150ML
NIMESULIDA 100MG COM 12                      | ANTI REUMATICOS NAO ESTEROIDAIS PU | NIMESULIDA     | EMS PHARMA       | 12UN | NIMESULIDA 100MG 12UN
NIMESULIDA 100MG C12                         | ANTI REUMATICOS NAO ESTEROIDAIS PU | NIMESULIDA     | EMS PHARMA       | 12UN | NIMESULIDA 100MG 12UN
IBUPROFENO 600MG 20 COMP REV                 | ANTI REUMATICOS NAO ESTEROIDAIS PU | IBUPROFENO     | OUTRO FABRICANTE | 20UN | IBUPROFENO REVESTIDO 600MG 20CPRS
LOSARTANA 50MG 30CPR REV                     | C09C ANTAGONISTAS DE LA ANGIOTENSI | LOSARTANA      | OUTRO FABRICANTE | 30UN | LOSARTANA REVESTIDO 50MG 30CPRS
BUSCOPAN COMPOSTO 20 DRG                     | A03D ASSOCIACOES COM ANALGESICOS   | BUSCOPAN       | HYPERA PHARMA    | 20UN | BUSCOPAN COMPOSTO 20DRGS
ENO SAL DE FRUTA 5G 2 ENVELOPES              | A02A4 ANTIACIDOS COM ANTIFISETICOS | ENO            | HALEON           | 5G | ENO SAL DE FRUTA ENVELOPES 5G
ENO SAL FRUTA C/30 ENV                       | A02A4 ANTIACIDOS COM ANTIFISETICOS | ENO            | HALEON           | 30UN | ENO SAL FRUTA 30UN
SORINE ADULTO SPRAY 50ML                     | R01A7 DESCONGESTIONANTES NASAIS    | SORINE         | ACHE LABORATORIO | 50ML | SORINE ADULTO SPRAY 50ML
NEOSORO 30ML                                 | R01A7 DESCONGESTIONANTES NASAIS    | NEOSORO        | HYPERA PHARMA    | 30ML | NEOSORO 30ML
BEPANTOL DERMA CREME 30G                     | OUTRA CATEGORIA                    | BEPANTOL       | BAYER            | 30G | DERMA BEPANTOL CREME 30G
NEOSALDINA 20 DRAGEAS                        | N02C9 TODAS AS OUTRAS PREPARACOES  | NEOSALDINA     | HYPERA PHARMA    | 20UN | NEOSALDINA 20DRGS
TORSILAX 30 COMPRIMIDOS                      | M03B RELAXANTES MUSCULARES ACAO CE | TORSILAX       | HYPERA PHARMA    | 30UN | TORSILAX 30CPRS
BENEGRIP C/20 CAPS                           | A11A4 OUTROS POLIVIT COM MINERAIS  | BENEGRIP       | HYPERA PHARMA    | 20UN | SUPL ALIM POLIV BENEGRIP 20CAPS
DRAMIN B6 C/10 COMP                          | A04A9 OUTROS ANTIEMETICOS E ANTINA | DRAMIN         | HYPERA PHARMA    | 10UN | DRAMIN 10CPRS
DRAMIN B6 GOTAS 30ML                         | A04A9 OUTROS ANTIEMETICOS E ANTINA | DRAMIN         | HYPERA PHARMA    | 30ML | DRAMIN GOTAS 30ML
CIMEGRIPE C/20 CAPSULAS                      | A11G2 VITAMINA C ASSOCIADA         | CIMEGRIPE      | CIMED            | 20UN | SUPL ALIM CIMEGRIPE 20CAPS
EPOCLER 10 FLACONETES                        | A05B PRODUTOS PARA DOENCAS DO FIGA | EPOCLER        | HYPERA PHARMA    | 10UN | EPOCLER FLACONETES 10UN
LUFTAL 75MG GTS 15ML                         | A02A2 ANTIFISETICOS PUROS          | LUFTAL         | RB               | 15ML | LUFTAL GOTAS 75MG 15ML
ADVIL 400MG 8 CAPS                           | A11F VITAMINAS B12 PURA            | ADVIL          | HALEON           | 8UN | SUPL ALIM ADVIL 400MG 8CAPS
DIPROSPAN 1 AMP 1ML                          | H02A CORTICOSTEROIDES PUROS        | DIPROSPAN      | HYPERA PHARMA    | 1ML | DIPROSPAN AMPOLA 1ML
BENZETACIL 1.200.000UI 1 AMPOLA              | PENICILINAS PEQUENO MEDIANO ESPECT | BENZETACIL     | ABBOTT           | 1UN | BENZETACIL AMPOLA 1UN
VOLTAREN EMULGEL 60G                         | ANTI REUMATICOS NAO ESTEROIDAIS PU | VOLTAREN       | NOVARTIS         | 60G | VOLTAREN EMULGEL 60G
NISTATINA CREME VAGINAL 60G + 14 APLIC       | J02A AGENTES ANTIMICOTICOS SISTEMI | APLIC          | APLIC RESOLIT    | 60G | APLIC NISTATINA CREME VAGINAL 60G
MICROVLAR 21 DRG                             | G03A1 MONOFASICOS MENOR 50 MCG EST | MICROVLAR      | BAYER            | 21UN | MICROVLAR 21DRGS
CICLO 21 CARTELA 21 CPR                      | G03A1 MONOFASICOS MENOR 50 MCG EST | CICLO 21       | UNIAO QUIMICA    | 21UN | CICLO 21 21CPRS
YASMIN 3X 21 CPR                             | G03A1 MONOFASICOS MENOR 50 MCG EST | YASMIN         | YASMIN COSMETICO | 63UN | YASMIN 63CPRS
SELENE C/21                                  | G03A1 MONOFASICOS MENOR 50 MCG EST | SELENE         | SELENE           | 21UN | SELENE 21UN
ELANI CICLO 3 X 21 CPR                       | G03A1 MONOFASICOS MENOR 50 MCG EST | ELANI          | LIBBS FARMACEUTI | 63UN | ELANI CICLO 63CPRS
CENTRUM 60 COMP                              | MULTIVITAMINICO                    | OUTRA MARCA    | OUTRO FABRICANTE | 60UN | SUPL ALIM MULT CENTRUM 60CPRS
DEPURA 12 SACHES                             | A11C2 VITAMINA D PURA              | OUTRA MARCA    | OUTRO FABRICANTE | 12UN | SUPL ALIM DEPURA 12UN
FLORATIL 200MG C/6 CAPS                      | A07F MICROORGANISMOS ANTIDIARREICO | FLORATIL       | FARMOQUIMICA     | 6UN | FLORATIL 200MG 6CAPS
FLORATIL 5 FRASCOS 5ML                       | A07F MICROORGANISMOS ANTIDIARREICO | FLORATIL       | FARMOQUIMICA     | 5ML | FLORATIL FRASCOS 5ML
DUOFLAM 1 SERINGA                            | H02A CORTICOSTEROIDES PUROS        | DUOFLAM        | CRISTALIA        | 1UN | DUOFLAM SERINGA 1UN
SYSTEN CONTI C/8 ADES                        | G03F ASSOCIACOES DE ESTROGENOS E P | SYSTEN         | KENVUE           | 8UN | SYSTEN CONTI ADES 8UN
NICORETTE 4MG 30 GOMAS                       | N07B PRODUTOS ANTITABAGISMO        | NICORETTE      | KENVUE           | 30UN | NICORETTE GOMAS 4MG 30UN
NICOTINELL 7MG 7 ADESIVOS                    | N07B PRODUTOS ANTITABAGISMO        | NICOTINELL     | NOVARTIS         | 7UN | NICOTINELL ADESIVOS 7MG 7UN
BUSCOPAN 10MG 20 DRAGEAS                     | A03D ASSOCIACOES COM ANALGESICOS   | BUSCOPAN       | HYPERA PHARMA    | 20UN | BUSCOPAN 10MG 20DRGS
ANADOR 500MG 4 CPR                           | N02B NAO NARCOTICOS ANTIPIRETICOS  | ANADOR         | OPELLA           | 4UN | ANADOR 500MG 4CPRS
ANADOR 500MG/ML 20ML                         | N02B NAO NARCOTICOS ANTIPIRETICOS  | ANADOR         | OPELLA           | 20ML | ANADOR 500MG/ML 20ML
PARACETAMOL 750MG 200 COMP HOSPITALAR        | N02B NAO NARCOTICOS ANTIPIRETICOS  | PARACETAMOL    | OUTRO FABRICANTE | 200UN | PARACETAMOL HOSPITALAR 750MG 200CPRS
TORAGESIC 10MG 10CP SUBLINGUAL               | N02B NAO NARCOTICOS ANTIPIRETICOS  | TORAGESIC      | EMS PHARMA       | 10UN | TORAGESIC SUBLINGUAL 10MG 10CPRS
PROFENID 100MG 20 CPR                        | ANTI REUMATICOS NAO ESTEROIDAIS PU | PROFENID       | SANOFI FARMACEUT | 20UN | PROFENID 100MG 20CPRS
ALIVIUM 600MG 10 COMP                        | N02B NAO NARCOTICOS ANTIPIRETICOS  | ALIVIUM        | FRANCEFARMA COSM | 10UN | ALIVIUM 600MG 10CPRS
DEVELL 20MG X 30 CPR                         | OUTRA CATEGORIA                    | OUTRA MARCA    | OUTRO FABRICANTE | 30UN | DEVELL CPR 30UN
TADALAFILA 5MG 30 COMPS                      | G04E1 INIBIDORES DE PDE5 PARA DISF | TADALAFILA     | OUTRO FABRICANTE | 30UN | TADALAFILA COMPS 5MG 30UN
SILDENAFILA 50MG 4 COMP                      | G04E1 INIBIDORES DE PDE5 PARA DISF | SILDENAFILA    | OUTRO FABRICANTE | 4UN | SILDENAFILA 50MG 4CPRS
CIALIS 5MG 28 CP                             | G04E1 INIBIDORES DE PDE5 PARA DISF | CIALIS         | ELI LILLY        | 28UN | CIALIS 5MG 28CPRS
147 SKUs: 1UN 4, OUTRA CATEGORIA 3
