Cod Interno	Codigo Barras	Descripcion	Contenido	UNIDADES	Est Mer 7 Descripcion	Marca	Fabricante	TOP_DESCRIPCION	MAX_DESCRIPCION	Dia de FECHA_ULT_CAMBIO	USUARIO_ULT_CAMBIO
	30768026417	SUNDOWN 400IU X 30 CPR (NES)	30	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT E SUNDOWNC/30 CAPS 400UI	Sundown Suplemento Alimentar Vitamina E 400 UI 30 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	30768026424	SUNDOWN 1000IU X 30 CPR (NES)	30	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	Vitamina E 1000UI Sundown Naturals com 30 Cápsulas	VITAMINA E SUNDOWN 1000 UI VIT E C/ 30 CAP	17 de dezembro de 2025	apitel@scanntech.com
	30768038199	SUNDOWN 1000MG X 60 CPR (NES)	60	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	FISH OIL SUNDOWNC/60 CAPS 1000MG	Ômega 3 Sundown Naturals Fish Oil Com 60 Cápsulas Com 1000mg	17 de dezembro de 2025	apitel@scanntech.com
	30768038489	SUNDOWN 1000MG X 180 CPR (NES)	180	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	FISH OIL SUNDOWNC/180 CAPS 1000MG	Ômega 3 Fish Oil 1000mg Sundown Naturals com 180 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	30768039042	SUNDOWN 1000MG X 30 CPR (NES)	30	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT C SUNDOWNC/30 CPR REV 1000MG	VITAMINA C SUNDOWN SUN C 1000MG C/ 30 CP	17 de dezembro de 2025	apitel@scanntech.com
	30768043070	SUNDOWN  X 100 CPR (NES)	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	CALCIUM SUNDOWNC/100 CPR C/MAGNESIO/ZINCO	Cálcio e Magnésio com Zinco Sundown Naturals com 100 Compri	17 de dezembro de 2025	apitel@scanntech.com
	30768058296	SUNDOWN 50MG X 100 CPR (NES)	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	MAGNESIUM SUNDOWNC/100 CPR 250MG	MAGNESIO 250 MG C/100 CPS ( UN )	17 de dezembro de 2025	apitel@scanntech.com
	30768101510	SUNDOWN  X 60 CPR (NES)	60	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	OMEGA SUNDOWN TRIPLE 3/6/9C/60 CAPS	Sundown Ômega - 3 Plus Suplemento Alimentar 60 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	30768101572	SUNDOWN  X 120 CPR (NES)	120	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	OMEGA 3 SUNDOWN PLUSC/120 CAPS	DIVINA SUNDOWN TRIPLE OMEGA 3-6-9 COMPLEXO VITAMINICO 120 C	17 de dezembro de 2025	apitel@scanntech.com
	30768112585	SUNDOWN 1000MG X 120 CPR (NES)	120	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	OLEO DE LINHACA SUNDOWNC/120 CAPS 1000MG	Óleo De Linhaça Orgânica Sundown Naturals Com 120 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	30768136017	LUTEINA 20MG SUNDOWN FRASCO 30 CAPSULAS	30	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA			16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768138585	SUNDOWN 1000MG X 120 CPR (NES)	120	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	FISH OIL SUNDOWNC/120 CAPS 1000MG	Ômega 3 Fish Oil 1000mg Sundown Naturals com 120 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	30768156053	SUNDOWN 2000IU X 200 CPR (NES)	200	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT D SUNDOWNC/200 CAPS 2000UI	Suplemento Alimentar Sundown Vitamina D 2.000 UI 200 Cápsul	17 de dezembro de 2025	apitel@scanntech.com
	30768186739	SUNDOWN 90MG X 72 CPR (NES)	72	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	OMEGA 3 SUNDOWNC/72 CAPS SEM ODOR 1290MG	SUNDOWN CAP O3 FO OD 1290.0 MG  X 72	17 de dezembro de 2025	apitel@scanntech.com
	30768301576	SUNDOWN 1000MG X 180 CPR (NES)	180	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT C SUNDOWNC/180 CPR REV 1000MG	VITAMINA C SUNDOWN NATURALS 1000 MG C/ 180 CAP	17 de dezembro de 2025	apitel@scanntech.com
	30768358631	SELENIO 34MCG SUNDOWN FRASCO 60 CPRS	60	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA			16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768383992	SUNDOWN 1000MG X 320 CPR (NES)	320	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	FISH OIL SUNDOWNC/320 CAPS 1000MG	Ômega 3 Fish Oil 1000mg Sundown Naturals com 320 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	30768453275	LICOPENO 10MG SUNDOWN FRASCO 60 CAPSULAS	60	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA			16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768456269	OLEO DE ALHO 1500MG SUNDOWN FRASCO 100 CAPSULAS	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA			16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768504137	SUNDOWN 400IU X 100 CPR (NES)	100	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	VIT E SUNDOWNC/100 CAPS 400UI	SUNDOWN CA GE S E400 400.0 IU  X 100	17 de dezembro de 2025	apitel@scanntech.com
	30768504144	VITAMINA E 400IU SUNDOWN FRASCO 180 CAPSULAS	180	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA			16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768576028	SUNDOWN  X 60 CPR (NES)	60	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	MULTI AZ SUNDOWNC/60 CPR REV	Multi a Z 1500mg (60 tabs) - Sundown, Sundown	17 de dezembro de 2025	apitel@scanntech.com
	30768576035	MULTI A-Z SUNDOWN FRASCO 120 CAPSULAS	120	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	SUND MULTI AZ C120	Multi a Z 1500mg (120 tabs) - Sundown, Sundown	16 de dezembro de 2025	jessica.evangelista@scanntech.com
	30768599850	SUNDOWN 6000IU X 90 CPR (NES)	90	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	BETA CAROTENO SUNDOWNC/90 CAPS 6000IU	SUNDOWN NAT  90 CAP BT CAR 6000UI VIT A	17 de dezembro de 2025	apitel@scanntech.com
	30768905262	SUNDOWN 500MG X 90 CPR (NES)	90	1	VITAMINA OUTRO	SUNDOWN NES	NESTLE CIA	Vitamina C Premium 500mg Sundown Naturals Liberação Prolong	Vitamina C Premium 500mg Sundown Naturals Liberação Prolong	17 de dezembro de 2025	apitel@scanntech.com
	38290320478	METILCOBALAMINA AMP 1UN	1	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	METILCOBALAMINA  SUBL 30UNID	METILCOBALAMINA  SUBL 30UNID	29 de outubro de 2025	henrique.traldi@scanntech.com
	40141015716	HEXAMAG 500MG X 60 CPR ()	60	0	MULTIVITAMINICO	HEXAMAG	OUTRO FABRICANTE	Hexa-Mag 6X 500mg com 60 Cápsulas	HEXA MAG 6X 500MG C60CPS FORTLIFE ( CX )	17 de dezembro de 2025	apitel@scanntech.com
	40141042477	SUPL ALIM TREONATO NFM MAGNESIO 120UN	120	0	VITAMINA OUTRO	TREONATO NFM	NATUFORME	TREONATO DE MAGNESIO 500 MG C/	TREONATO DE MAGNESIO 500 MG C/120 CAPS	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141073167	SUPL ALIM CASTANHADAINDIA 500MG X 30CAPS	30	1	VITAMINA OUTRO	CASTANHADAINDIA	OUTRO FABRICANTE	CASTANHA DA INDIA 500MG C/30 C	CASTANHA DA INDIA 500MG C/30 C	9 de setembro de 2026	
	40141081148	SUPL ALIM L TREONATO MAGNESIO 60UN	60	0	VITAMINA OUTRO	L TREONATO	OUTRO FABRICANTE	MAGNESIO L-TREONATO 60CPR	MAGNESIO L-TREONATO CPR X 60		gabriel.morais@scanntech.com
	40141096821	TRIBULUS TRIBULUS MACA PERU POWER TURBO 2800MG X 12UN (GEN)	12	1	VITAMINA OUTRO	TRIBULUS MACA PERU GEN	TERRA E SAUDE	TRIBULUS POWER TURBO 2800MG 12 UN	TRIBULUS POWER TURBO PURO 2800MG C/120 CPS ( FR )		cleane.cesario@scanntech.com
	40141149503	SUPL ALIM MULT FORTLIFE ALOE VERA 1000MG X 60CAPS	60	1	MULTIVITAMINICO	FORTLIFE	FORTLIFE	Aloe Vera 1000mg com 60 Cápsulas	SUPLEMENTO ALIMENTAR FORTLIFE ALOE VERA 1000MG C/ 60CAPS		bruna.paiva@scanntech.com
	40141149510	SUPL ALIM FORTLIFE CARVAO VEGETAL ATIVADO 500MG 60CAPS	60	1	VITAMINA OUTRO	FORTLIFE	OUTRO FABRICANTE	Carvão Vegetal Ativado 500mg com 60 Cápsulas	CARVAO VEGETAL ATIVADO CAPSULAS 500.0 MG  X 60	24 de setembro de 2026	lucas.santos@scanntech.com
	40141149527	FLEBOFORT 50MG 60 CPRS	60	1	VITAMINA OUTRO	FLEBOFORT	FORTLIFE	FLEBOFORT 50MG 60 CPR (PINUS P .	FLEBOFORT 50MG C60COMP REV FLEBOFORT 50MG C60COMP R	16 de dezembro de 2025	dchagas@scanntech.com
	40141154682	SUPLEMENTO ALIMENTAR KOALA CHOCOLATE 264G	264	1	MULTIVITAMINICO	KOALA	CAFFEINE ARMY	KOALA SLEEP CHOCOLATE 264G	Koala Chocolate - Classic Size (264g) - Caffeine Army  Supl	16 de dezembro de 2025	dchagas@scanntech.com
	40141154811	SUPLEMENTO ALIMENTAR KOALA SLEEP CHOCOLATE STICK 12G	12	1	MULTIVITAMINICO	KOALA	CAFFEINE ARMY	KOALA SLEEP CHOCOLATE 12G	KOALA SLEEP TO GO PO CHOCOLATE 12.0 G X 14	3 de julho de 2025	lferreira@scanntech.com
	40141154866	SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT MELANCIA 144G	144	1	MULTIVITAMINICO	SUBLYME	CAFFEINE ARMY	Morning Shot 2.0 Pó Imunidade Melancia 144g	Morning Shot - Sabor Melância - Lata 144g - Sublyme	16 de dezembro de 2025	dchagas@scanntech.com
	40141154873	SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT TANGERINA 144G	144	1	MULTIVITAMINICO	SUBLYME	CAFFEINE ARMY	Morning Shot 2.0 Pó Imunidade Tangerina 144g	MORNING SHOT 2.0 PO IMU TANGE 144.0 G X 1	16 de dezembro de 2025	dchagas@scanntech.com
	40141154880	SUPLEMENTO ALIMENTAR KOALA SLEEP CHOCOLATE 456G	456	1	MULTIVITAMINICO	KOALA	CAFFEINE ARMY	KOALA SLEEP CHOCOLATE 456G	SUPLEMENTO PO CHOCOLATE SLEEP LT KOALA 456G	16 de dezembro de 2025	dchagas@scanntech.com
	40141154996	SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT MELANCIA STICK 6G	6	1	MULTIVITAMINICO	SUBLYME	CAFFEINE ARMY	SUP MORNING SHOT 2.0 MELANCIA TRAVEL 6G	MORNING SHOT 2.0 PO IMU MEL S 6.0 G X 14	27 de fevereiro de 2025	dchagas@scanntech.com
	40141155009	SUPLEMENTO ALIMENTAR SUBLYME MORNING SHOT TANGERINA STICK 6G	6	1	MULTIVITAMINICO	SUBLYME	CAFFEINE ARMY	MORNING SHOT TANGERI	MORNING SHOT 2.0 PO IMU TAN S 6.0 G X 14	27 de fevereiro de 2025	dchagas@scanntech.com
	40141155320	SUPL ALIM COBAGLOBAL SENIOR 50 + 30CPRS	30	1	VITAMINA OUTRO	COBAGLOBAL	EMS PHARMA	COBAGLOBAL SENIOR 50+ C/30 CP	COBAGLOBAL SENIOR 50+ C30 CP COBAGLOBAL SENIOR 50+ C3		paulo.ferreira@scanntech.com
	40141607362	SUPL ALIM GUDAY MACA PERUANA 500MG X 60CAPS	60	1	VITAMINA OUTRO	GUDAY	GUDAY PRODUTOS ALIMENTICIOS LTDA	MACA PERUANA 500MG 60 CAPS HER	MACA PERUANA + ZINCO + BORO 60 CAPS 500MG HERBANATUS	15 de setembro de 2026	
	40141607379	SUPL ALIM L TREONATO MAGNESIO CAPSULA 60UN	60	0	VITAMINA OUTRO	L TREONATO	OUTRO FABRICANTE	MAGNESIO L-TREONATO 60 CAPS 50 MAGNESIO L-TREONATO 60 CA	MAGNESIO L-TREONATO 60 CAPS 50 MAGNESIO L-TREONATO 60 CA	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141607386	ORA PRO NOBIS HERBANATUS 60CP	60	1	VITAMINA OUTRO	HERBANATUS	HERBAMED	ORA PRO NOBIS HERBAN  C/60 CPS H	ORA PRO NOBIS C/60 CAPS - HERBANATUS		marcela.oliveira@scanntech.com
	40141607430	SUPL ALIM HERBANATUS TRIBULLUS TERRESTRIS ZINCO BOR 60UN	60	0	VITAMINA OUTRO	HERBANATUS	HERBAMED	TRIBULLUS TERRESTRIS 60 CPS (H	TRIBULLUS TERRESTRIS + ZINCO E BORO 60 CPS ( UN )		gabriel.morais@scanntech.com
	40141608536	SUPL ALIM MULTIVITTA MAGNESIO CAPSULA 60UN	60	0	VITAMINA OUTRO	MULTIVITTA	MULTIVITTA	MV 5 MAGNESIOS MULTIVITTA 60CAPS 1000MG	MULTIVITTA - 5 MAGNESIO 60 CAP		gabriel.morais@scanntech.com
	40141647894	SUPL ALIM CARVAO VEGETAL ATIVADO 500MG 60CAPS	60	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	CARVAO VEGETAL ATIVADO 500 MG 60 CPR	CARVAO VEGETAL ATIVADO 500MG 6 CARVAO VEGETAL ATIVADO 50	24 de setembro de 2026	lucas.santos@scanntech.com
	40141647948	SUPL ALIM ECKOLIF CARVAO ATIVADO 60CAPS	60	1	VITAMINA OUTRO	OUTRA MARCA	X SUPERMERCADOS	ECKO CARVAO ATIVADO 60CAPS	ECKOLIFE CARVAO VEGETAL ATIVADO 500 MG C/60 CAPS	24 de setembro de 2026	lucas.santos@scanntech.com
	40141750976	CARVOFORT  X 60 CPR (FRT)	60	1	VITAMINA OUTRO	CARVOFORT FRT	FORTLIFE	Carvofort com 60 Cápsulas	CARVOFORT 500 MG 60 CAP - CARVAO ATIV. + PIRIDOXINA 1X	17 de dezembro de 2025	apitel@scanntech.com
	40141751805	SUPLEMENTO ALIMENTAR KOALA SLEEP CHOCOLATE 264G	264	1	VITAMINA OUTRO	KOALA	CAFFEINE ARMY	KOALA SLEEP BAUNILHA 264G	SUPLEM ALIM KOALA SLEEP LT 264G BAUNILHA	15 de dezembro de 2025	lucas.santos@scanntech.com
	40141751836	SUPLEMENTO ALIMENTAR KOALA SLEEP BAUNILHA 456G	456	1	MULTIVITAMINICO	KOALA	CAFFEINE ARMY	KOALA SLEEP BAUNILHA 456G	KOALA SLEEP BAUNILHA 456 GR CAFFEINE ARM	27 de fevereiro de 2025	dchagas@scanntech.com
	40141751850	SUPLEMENTO ALIMENTAR KOALA SLEEP BAUNILHA STICK 12G	12	1	MULTIVITAMINICO	KOALA	CAFFEINE ARMY	KOALA SLEEP BAUNILHA 12G	KOALA SLEEP TO GO PO BAUNILHA 12.0 G X 14	27 de fevereiro de 2025	dchagas@scanntech.com
	40141774477	FOCO E MEMORIA 500MG NEO PREMIUM 1UN	1	1	VITAMINA OUTRO	NEO PREMIUM	MIDWAY LABS	NEO PREMIUM FOCO E MEMORIA 500	NEO PREMIUM FOCO E MEMORIA 500MG 60CAPS	11 de junho de 2026	jessica.evangelista@scanntech.com
	40141774583	SUPL ALIM NEO PREMIUM MAGNESIO 60UN	60	0	VITAMINA OUTRO	NEO PREMIUM	MIDWAY LABS	NEO PREMIUM 5 MAGNESIO 500MG 6	NEO PREMIUM 5 MAGNESIO 500MG 6 NEO PREMIUM 5 MAGNESIO 50	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141774606	SUPL ALIM MAGNESIO TREONATO NEO 60UN	60	0	VITAMINA OUTRO	MAGNESIO TREONATO	SILVER NATUS	NEO PREMIUM MAGNESIO TREONATO .	MAGNESIO TREONATO CAPSULAS 260.0 MG  X 60		gabriel.morais@scanntech.com
	40141774798	SUPL ALIM MULT CENTRUSUPER NEURO B12 60CP	60	1	MULTIVITAMINICO	OUTRA MARCA	OUTRO FABRICANTE	CENTRUSUPER NEURO SUPER B12 60CPS  .CEN	CENTRUSUPER NEURO SUPER B12 60CPS  .CEN	27 de janeiro de 2026	washington.conceicao@scanntech.com
	40141774804	SUPL ALIM SUAV NUTRITION CALCIO COMPRIMIDO 60UN	60	0	VITAMINA OUTRO	SUAV NUTRITION	SUAV NUTRITION	CALCIO 600 + D3 400MG 60 CPS S .	CALCIO 600 + D3 400 60 CPS SUA CALCIO 600 + D3 400 60 CP	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141774996	SUPLEMENTO ALIM NUTRI+SENIOR GOOD VIT 400G	400	1	VITAMINA OUTRO	GOOD VIT	OUTRO FABRICANTE	Good Vit Pó Nutri + Sênior Vitamina de Frutas 400g	GOOD VIT NUTRI + SENIOR VIT FR GOOD VIT NUTRI + SENIOR V	19 de março de 2025	giovana.marques@scanntech.com
	40141774996	SUPLEMENTO ALIM NUTRI+SENIOR GOOD VIT 400G	400	1	VITAMINA OUTRO	GOOD VIT	OUTRO FABRICANTE	Good Vit Pó Nutri + Sênior Vitamina de Frutas 400g	GOOD VIT NUTRI + SENIOR VIT FR GOOD VIT NUTRI + SENIOR V	19 de março de 2025	giovana.marques@scanntech.com
	40141775016	SUPL ALIM GOOD VIT NUTRI SENIOR VIT FRUTAS 800G	800	1	VITAMINA OUTRO	GOOD VIT	VITAMED	Good Vit Pó Nutri + Sênior Vitamina de Frutas 800g	GOOD VIT NUTRI + SENIOR VIT FR GOOD VIT NUTRI + SENIOR V	21 de maio de 2026	cleane.cesario@scanntech.com
	40141775207	GOOD VIT VIT PSYLLIUM 500MG 60CP	60	1	VITAMINA OUTRO	GOOD VIT	OUTRO FABRICANTE	Good Vit Psyllium 500mg com 60 Cápsulas	GOOD VIT PSYLLIUM 60CAPS - . GOOD VIT PSYLLIUM 60CAPS	16 de dezembro de 2025	dchagas@scanntech.com
	40141775238	SUPL ALIM GOOD VIT LICOPENO SELENIO 60UN	60	0	VITAMINA OUTRO	GOOD VIT	GOMES SUPLEMENTOS ALIMENTARES LTDA	LICOPENO + SELENIO GOOD 60CPS	GOOD VIT LICOPENO + SELENIO 60CAPS - . LICOPENO SELENIO	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141775504	SUPL ALIM NUTRA VITTON MAGNESIO QUELATO	1	0	VITAMINA OUTRO	NUTRA VITTON	OUTRO FABRICANTE	NUTRA VITTON MAGNESIO QUELATO	NUTRA VITTON MAGNE QUEL C/60CP	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141775511	SUPL ALIM NUTRA VITTON VIT C+ ZINCO 60CAPS	60	1	VITAMINA OUTRO	NUTRA VITTON	OUTRO FABRICANTE	NUTRA VITTON VIT C+ZINCO 60CP	NUTRA VITTON VITAMINA C + ZINCO 60CPS	15 de abril de 2026	jessica.evangelista@scanntech.com
	40141775658	SUPL ALIM CARTVIT 60CAPS	60	1	VITAMINA OUTRO	CARTVIT	ALTHAIA	CARTVIT HIALURONICO 60 CAPS (VITNATU)	VITNATU CARTVIT SUPER FORMULA 60 CAPS VITNATU	24 de setembro de 2026	jessica.evangelista@scanntech.com
	40141775672	RENOVIT RENOVIT HOMEM 60CPRS	60	1	MULTIVITAMINICO	RENOVIT	RENOVIT	RENOVIT HOMEM C/60 CAP	RENOVIT VITAMINA HOMEM 60 CPS	21 de outubro de 2025	arthur.moura@scanntech.com
	40141775689	RENOVIT MULHER 1UN	1	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	RENOVIT MULHER C60 RENO	RENOVIT VITAMINA MULHER 60 CPS	22 de outubro de 2025	amanda.silva@scanntech.com
	40141775696	RENOVIT SENIOR 60CPRS	60	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	RENOVIT SENIOR C/60 CAP	RENOVIT VITAMINA SENIOR 60 CPS	22 de outubro de 2025	amanda.silva@scanntech.com
	40141775702	RENOVIT POLIVITAMINICO 60CPRS	60	1	MULTIVITAMINICO	RENOVIT	RENOVIT	RENOVIT VITAMINA A-Z 60 CPS	RENOVIT VITAMINA A-Z 60 CPS	30 de outubro de 2025	arthur.moura@scanntech.com
	40141775719	RENOVIT CABELO/PELE/UNHA 60CPRS	60	1	MULTIVITAMINICO	RENOVIT	RENOVIT	RENOVIT CABELO PELE UNHA C60	RENOVIT VITAMINA CABELO PELE E UNHA 60 CPS	27 de outubro de 2025	henrique.traldi@scanntech.com
	40141775795	RENOVIT CALCIO MDK 60CPRS	60	1	MULTIVITAMINICO	RENOVIT	RENOVIT	RENOVIT CALCIO MDK C60 RENO	RENOVIT CALCIO MDK C/60 CAP	30 de outubro de 2025	arthur.moura@scanntech.com
	40141775801	SUPL ALIM GUDAY RENOVIT MAGNESIO DIMALATO X 60CAPS	60	1	VITAMINA OUTRO	GUDAY	GUDAY PRODUTOS ALIMENTICIOS LTDA	RENOVIT MAGNESIO DIMALATO C/60 CAP	RENOVIT MAGNESIO DIMALATO C/60 CAP	15 de setembro de 2026	
	40141776006	RENOVIT VITAMINA B12 C60 UNI	1	1	VITAMINA OUTRO	RENOVIT	RENOVIT	RENOVIT VITAMINA B12 C/60 CAP	RENOVIT VITAMINA B12 C/60 CAP	31 de outubro de 2025	amanda.silva@scanntech.com
	40141776075	SUPL ALIM RENOVIT BIOTINA 60UN	60	0	VITAMINA OUTRO	RENOVIT	RENOVIT	RENOVIT BIOTINA 60 CPS	RENOVIT BIOTINA 45 MCG C/60 CAP	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141776099	SUPL ALIM COMPLEXO B RENOVIT 100UN	100	0	VITAMINA OUTRO	COMPLEXO B	OUTRO FABRICANTE	RENOVIT COMPLEXO B C100 UNIT	RENOVIT COMPLEXO B 100 CPS	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141776372	GOOD VIT BARI COMPLEX SOFTGEL 60CPRS	60	1	MULTIVITAMINICO	GOOD VIT	OUTRO FABRICANTE	AZ COMPLEX GOOD VIT BARI C/ 60CAP	GOOD VIT A-Z COMPLEX BARI CX C/ 60 CPS DE 1450 MG	16 de dezembro de 2025	dchagas@scanntech.com
	40141777041	SUPL ALIM VIT NATU CINCO MAGNESIO CAPSULA 60UN	60	0	VITAMINA OUTRO	VIT NATU	OUTRO FABRICANTE	VIT NATU - CINCO MAGNESIOS - 60 CAPS	VIT NATU - CINCO MAGNESIOS - 60 CAPS		gabriel.morais@scanntech.com
	40141777096	SUPL ALIM VIT NATU OMEGA COMPRIMIDO 60UN	60	0	VITAMINA OUTRO	VIT NATU	OUTRO FABRICANTE	VIT NATU - OMEGA 3.6.9 60 CAPS	VIT NATU OMEGA 3 6 9 + VIT E C/60 CPS		gabriel.morais@scanntech.com
	40141777126	SUPL ALIM VIT NATU VITAMINA ZINCO 60UN	60	0	VITAMINA OUTRO	VIT NATU	OUTRO FABRICANTE	VIT NATU - VITAMINA C+ ZINCO	VIT NATU - VIT C+ ZINCO C/ 60 CP		gabriel.morais@scanntech.com
	40141777423	SUPL ALIM RENOVIT VITAMINA 60UN	60	0	VITAMINA OUTRO	RENOVIT	RENOVIT	RENOVIT VITAMINA K2 60 CPS	RENOVIT VITAMINA K2 C/60 CAP	24 de setembro de 2026	gabriel.morais@scanntech.com
	40141777485	SUPL ALIM SUAV NUTRITION VITAMINA B12 X 60 CAPS	60	1	VITAMINA OUTRO	SUAV NUTRITION	SUAV NUTRITION	VITAMINA B12 MASTIGAVEL 60CPDS SUAVNUTRITION	VITAMINA B12 FR 60CPR SB MORANGO LIV HEALTH	14 de julho de 2026	lucas.santos@scanntech.com
	40141777614	SUPL ALIM GOOD VIT PEA X 60CAPS	60	1	VITAMINA OUTRO	GOOD VIT	OUTRO FABRICANTE	GOOD VIT PEA C/60 CPS - .	GOOD VIT CAPSULAS PEA 500.0 MG  X 60	15 de setembro de 2026	
